,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.031583,20162200000.0,79800000.0,892100000.0,2000000.0,894100000.0,20162200000.0,20162200000.0,111270419.0,111270419.0,181.2,181.2,20162200000.0,20162200000.0,20162200000.0,-20200000.0,20182400000.0,20182400000.0,658200000.0,20840600000.0,0.0,489700000.0,79800000.0,79800000.0,308200000.0,308200000.0,21330300000.0,21330300000.0,1260471306432.0
2025-09-30,0.0,0.14465,15590200000.0,79600000.0,1543400000.0,1900000.0,1545300000.0,15590200000.0,15590200000.0,111279086.0,111279086.0,140.1,140.1,15590200000.0,15590200000.0,15590200000.0,-1308600000.0,16898800000.0,16898800000.0,2857800000.0,19756600000.0,0.0,514100000.0,79600000.0,79600000.0,322800000.0,322800000.0,20270700000.0,20270700000.0,1362834966242.0
2025-06-30,0.0,0.05398,34865100000.0,79800000.0,1816600000.0,2000000.0,1818600000.0,34865100000.0,34865100000.0,111283434.0,111283434.0,313.3,313.3,34865100000.0,34865100000.0,34865100000.0,-173300000.0,35038400000.0,35038400000.0,1999300000.0,37037700000.0,15218800000.0,488200000.0,79800000.0,79800000.0,297900000.0,297900000.0,37525900000.0,37525900000.0,1592268586325.0156
2025-03-31,0.0,0.02155,17254900000.0,84300000.0,1250600000.0,3700000.0,1254300000.0,17254900000.0,17254900000.0,,,,,17254900000.0,17254900000.0,17254900000.0,-253000000.0,17507900000.0,17507900000.0,385600000.0,17893500000.0,180700000.0,-356600000.0,84300000.0,84300000.0,183700000.0,183700000.0,17536900000.0,17536900000.0,
2024-12-31,0.0,0.017434,17483600000.0,84400000.0,1004800000.0,3700000.0,1008500000.0,17483600000.0,17483600000.0,111289624.0,111289624.0,157.1,157.1,17483600000.0,17483600000.0,17483600000.0,-16100000.0,17499700000.0,17499700000.0,310500000.0,17810200000.0,0.0,391000000.0,84400000.0,84400000.0,194000000.0,194000000.0,18201200000.0,18201200000.0,1313703368492.2656
