,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,6655072.463768,0.277295,1152000000.0,24000000.0,24000000.0,747000000.0,130000000.0,3660000000.0,1176000000.0,1046000000.0,56000000.0,11000000.0,67000000.0,729655072.463768,747000000.0,4156000000.0,937000000.0,4121795902.0,4114946425.0,0.18,0.18,747000000.0,747000000.0,747000000.0,-1000000.0,748000000.0,748000000.0,287000000.0,1035000000.0,36000000.0,12000000.0,-6000000.0,6000000.0,30000000.0,56000000.0,,11000000.0,67000000.0,943000000.0,496000000.0,33000000.0,8000000.0,455000000.0,53000000.0,402000000.0,93000000.0,10000000.0,299000000.0,1439000000.0,3660000000.0,5099000000.0,5099000000.0,6647284555407.56
2025-09-30,7253218.88412,0.27897,1286000000.0,26000000.0,26000000.0,839000000.0,135000000.0,3516000000.0,1312000000.0,1177000000.0,72000000.0,12000000.0,84000000.0,820253218.88412,839000000.0,4011000000.0,1065000000.0,,,,,839000000.0,839000000.0,839000000.0,-1000000.0,840000000.0,840000000.0,325000000.0,1165000000.0,28000000.0,2000000.0,0.0,0.0,26000000.0,72000000.0,,12000000.0,84000000.0,1065000000.0,495000000.0,32000000.0,9000000.0,454000000.0,254000000.0,200000000.0,97000000.0,10000000.0,93000000.0,1560000000.0,3516000000.0,5076000000.0,5076000000.0,
2025-06-30,0.0,0.289104,1028000000.0,,,809000000.0,,3416000000.0,1028000000.0,1028000000.0,,,,809000000.0,809000000.0,3913000000.0,1028000000.0,4257894737.0,4045000000.0,0.19,0.2,809000000.0,809000000.0,809000000.0,,809000000.0,809000000.0,329000000.0,1138000000.0,110000000.0,110000000.0,,,,,,,,1028000000.0,497000000.0,,,497000000.0,258000000.0,239000000.0,239000000.0,,,1525000000.0,3416000000.0,4941000000.0,4941000000.0,6381586448364.258
2025-03-31,6797853.309481,0.271914,1254000000.0,25000000.0,25000000.0,813000000.0,150000000.0,3302000000.0,1279000000.0,1129000000.0,114000000.0,11000000.0,125000000.0,794797853.309481,813000000.0,3745000000.0,991000000.0,,,0.2,0.2,813000000.0,813000000.0,813000000.0,-1000000.0,814000000.0,814000000.0,304000000.0,1118000000.0,19000000.0,-6000000.0,6000000.0,-6000000.0,19000000.0,114000000.0,,11000000.0,125000000.0,985000000.0,443000000.0,30000000.0,9000000.0,404000000.0,55000000.0,349000000.0,89000000.0,9000000.0,251000000.0,1428000000.0,3302000000.0,4730000000.0,4730000000.0,
2024-12-31,6191601.049869,0.294838,1277000000.0,21000000.0,21000000.0,804000000.0,,3444000000.0,1298000000.0,1155000000.0,58000000.0,12000000.0,70000000.0,789191601.049869,804000000.0,3885000000.0,1053000000.0,4151534784.0,4141941436.0,0.19,0.19,804000000.0,804000000.0,804000000.0,-2000000.0,806000000.0,806000000.0,337000000.0,1143000000.0,31000000.0,10000000.0,-1000000.0,1000000.0,22000000.0,58000000.0,,12000000.0,70000000.0,1054000000.0,441000000.0,31000000.0,7000000.0,403000000.0,45000000.0,358000000.0,98000000.0,8000000.0,252000000.0,1495000000.0,3444000000.0,4939000000.0,4939000000.0,7563026806805.254
