,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.277614,88578500000.0,,,45588700000.0,10717400000.0,480620100000.0,88578500000.0,77861100000.0,-6251300000.0,6251300000.0,45588700000.0,45588700000.0,651046300000.0,1376331336.0,1375742405.0,23.36,23.37,32151100000.0,32151100000.0,0.0,32151100000.0,-6095400000.0,38246500000.0,-13437600000.0,51684100000.0,19879900000.0,71609800000.0,14410400000.0,,-6251300000.0,6251300000.0,63450700000.0,170426200000.0,10717400000.0,10717400000.0,31710200000.0,31710200000.0,,233876900000.0,480620100000.0,714497000000.0,714497000000.0,5617844110817.5
2025-06-30,0.0,0.261789,76744400000.0,0.0,0.0,36171900000.0,10333000000.0,419371700000.0,76744400000.0,66411400000.0,-7816100000.0,7816100000.0,36171900000.0,36171900000.0,583945600000.0,1375880563.0,1375357414.0,26.29,26.3,36171900000.0,36171900000.0,0.0,36171900000.0,-7009800000.0,43181700000.0,,43181700000.0,15339600000.0,58595300000.0,13567800000.0,0.0,-7816100000.0,7816100000.0,52843600000.0,164573900000.0,10333000000.0,10333000000.0,27856500000.0,27856500000.0,,217417500000.0,419371700000.0,636789200000.0,636789200000.0,5047286705053.324
2025-03-31,-6195925408.970779,0.234661,124262500000.0,-26403700000.0,-26403700000.0,54972600000.0,10294600000.0,509345900000.0,97858800000.0,87564200000.0,14062900000.0,7424000000.0,75180374591.02922,54972600000.0,615175100000.0,,,,,54972600000.0,54972600000.0,0.0,54972600000.0,-6585600000.0,61558200000.0,,61558200000.0,18805800000.0,80140200000.0,-24809200000.0,-40194100000.0,14062900000.0,7424000000.0,113489600000.0,105829200000.0,10294600000.0,1052200000.0,-24042400000.0,-79963800000.0,-28721900000.0,219318800000.0,509345900000.0,728664700000.0,728664700000.0,
2024-12-31,0.0,0.249764,72227400000.0,0.0,0.0,33588400000.0,10470000000.0,436152100000.0,72227400000.0,61757400000.0,-8427100000.0,8427100000.0,33588400000.0,33588400000.0,594599100000.0,1376009832.0,1374883340.0,24.41,24.43,33588400000.0,33588400000.0,0.0,33588400000.0,-6151400000.0,39739800000.0,0.0,39739800000.0,13320000000.0,53330300000.0,9678700000.0,0.0,-8427100000.0,8427100000.0,52078700000.0,158447000000.0,10470000000.0,10470000000.0,28855100000.0,28855100000.0,28855100000.0,210525700000.0,436152100000.0,646677800000.0,646677800000.0,4914265729187.651
2024-09-30,0.0,0.259632,74633100000.0,0.0,0.0,33952900000.0,10238400000.0,410125300000.0,74633100000.0,64394700000.0,-8843800000.0,8843800000.0,33952900000.0,33952900000.0,562163800000.0,1375725284.0,1375168084.0,24.68,24.69,33952900000.0,33952900000.0,0.0,33952900000.0,-7035500000.0,40988400000.0,,40988400000.0,14422800000.0,55550900000.0,11012700000.0,0.0,-8843800000.0,8843800000.0,53382000000.0,152038500000.0,10238400000.0,10238400000.0,27243600000.0,27243600000.0,27243600000.0,205420500000.0,410125300000.0,615545800000.0,615545800000.0,5007794770799.592
