,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-792968873.208523,0.308789,316014000000.0,-2568000000.0,-2568000000.0,66305000000.0,134201000000.0,151939000000.0,313446000000.0,179245000000.0,-56232000000.0,56232000000.0,68080031126.79147,66305000000.0,366189000000.0,6016787659.0,5795891608.0,11.02,11.44,66305000000.0,66305000000.0,0.0,66305000000.0,-18723000000.0,85028000000.0,85028000000.0,37985000000.0,123013000000.0,7023000000.0,-2568000000.0,-56232000000.0,56232000000.0,173627000000.0,214250000000.0,26199000000.0,134201000000.0,134201000000.0,34269000000.0,34269000000.0,387877000000.0,151939000000.0,539816000000.0,539816000000.0,12203829935809.84
2025-06-30,0.0,0.293458,284303000000.0,0.0,0.0,59479000000.0,124651000000.0,145227000000.0,284303000000.0,159652000000.0,-54608000000.0,54608000000.0,59479000000.0,59479000000.0,340890000000.0,6007979798.0,5797173489.0,9.9,10.26,59479000000.0,59479000000.0,0.0,59479000000.0,-14739000000.0,74218000000.0,74218000000.0,30826000000.0,105044000000.0,5088000000.0,0.0,-54608000000.0,54608000000.0,153736000000.0,195663000000.0,23973000000.0,124651000000.0,124651000000.0,29659000000.0,29659000000.0,349399000000.0,145227000000.0,494626000000.0,494626000000.0,11553414347512.85
2025-03-31,-737100000.0,0.3,235181000000.0,-2457000000.0,-2457000000.0,110218000000.0,123260000000.0,165501000000.0,232724000000.0,109464000000.0,-42803000000.0,13625000000.0,111937900000.0,110218000000.0,324457000000.0,,,,,110410000000.0,110218000000.0,0.0,110218000000.0,-14540000000.0,124758000000.0,124758000000.0,-28919000000.0,95839000000.0,-7289000000.0,-4085000000.0,-42803000000.0,13625000000.0,154305000000.0,158956000000.0,-14615000000.0,123260000000.0,19299000000.0,34960000000.0,29359000000.0,313261000000.0,165501000000.0,478762000000.0,478762000000.0,
2024-12-31,3382853841.190156,0.044832,267260000000.0,75456000000.0,75456000000.0,147812000000.0,117042000000.0,141601000000.0,342716000000.0,225674000000.0,-56755000000.0,56755000000.0,75738853841.19016,147812000000.0,322369000000.0,5996430020.0,5787470634.0,24.65,25.54,147812000000.0,147812000000.0,0.0,147812000000.0,-13534000000.0,161346000000.0,161346000000.0,7573000000.0,168919000000.0,4697000000.0,75456000000.0,-56755000000.0,56755000000.0,128924000000.0,180768000000.0,18383000000.0,117042000000.0,117042000000.0,29261000000.0,29261000000.0,309692000000.0,141601000000.0,451293000000.0,451293000000.0,9112874112860.703
2024-09-30,-2524591854.037372,0.295724,231748000000.0,-8537000000.0,-8537000000.0,35932000000.0,110000000000.0,132984000000.0,223211000000.0,113211000000.0,-54237000000.0,54237000000.0,41944408145.96263,35932000000.0,306271000000.0,5988666667.0,5786151369.0,6.0,6.21,35932000000.0,35932000000.0,0.0,35932000000.0,-5602000000.0,41534000000.0,41534000000.0,17440000000.0,58974000000.0,2547000000.0,-8537000000.0,-54237000000.0,54237000000.0,108462000000.0,173287000000.0,19497000000.0,110000000000.0,110000000000.0,28824000000.0,28824000000.0,281749000000.0,132984000000.0,414733000000.0,414733000000.0,9809706971977.96
