,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-180450000.0,0.3,8491900000.0,-601500000.0,-601500000.0,12033600000.0,301500000.0,11585000000.0,7890400000.0,7588900000.0,-362900000.0,362900000.0,12454650000.0,12033600000.0,16605000000.0,2476049383.0,2476049383.0,4.86,4.86,12033600000.0,12033600000.0,0.0,12033600000.0,0.0,12033600000.0,12033600000.0,-74200000.0,7226000000.0,4593200000.0,-601500000.0,-362900000.0,362900000.0,3597200000.0,5020000000.0,3035700000.0,301500000.0,301500000.0,8617200000.0,11585000000.0,20202200000.0,20202200000.0,1702036406324.6245
2025-06-30,0.0,0.258451,6283400000.0,,,7626700000.0,344700000.0,19483300000.0,6283400000.0,5938700000.0,-785700000.0,785700000.0,7626700000.0,7626700000.0,23870100000.0,2476201299.0,2476201299.0,3.08,3.08,7626700000.0,7626700000.0,0.0,7626700000.0,0.0,7626700000.0,7626700000.0,1331800000.0,5153000000.0,2641800000.0,,-785700000.0,785700000.0,3296900000.0,4386800000.0,2598600000.0,344700000.0,344700000.0,7683700000.0,19483300000.0,27167000000.0,27167000000.0,2059497457145.3281
2025-03-31,-28612361.702483,0.172185,11922958000.0,-166172000.0,-166172000.0,12822015000.0,369121000.0,16516013000.0,11756786000.0,11387665000.0,7271972000.0,860925000.0,12959574638.297518,12822015000.0,19826248000.0,,,,,12822015000.0,12822015000.0,0.0,12822015000.0,21000.0,12821994000.0,12821994000.0,1812549000.0,10526740000.0,-7555199000.0,-33687000.0,7271972000.0,860925000.0,10978957000.0,3310235000.0,-4389148000.0,369121000.0,302052000.0,14289192000.0,16516013000.0,30805205000.0,30805205000.0,
2024-12-31,-907170000.0,0.3,6087500000.0,-3023900000.0,-3023900000.0,10587300000.0,387400000.0,7382600000.0,3063600000.0,2676200000.0,-939000000.0,939000000.0,12704030000.0,10587300000.0,11674600000.0,2473668224.0,2473668224.0,4.28,4.28,10587300000.0,10587300000.0,0.0,10587300000.0,0.0,10587300000.0,10587300000.0,-2666800000.0,1737200000.0,2087600000.0,-3023900000.0,-939000000.0,939000000.0,3612500000.0,4292000000.0,2569200000.0,387400000.0,387400000.0,7904500000.0,7382600000.0,15287100000.0,15287100000.0,2025712182807.2266
2024-09-30,0.0,0.3,7078500000.0,,,13810800000.0,377300000.0,10800600000.0,7078500000.0,6701200000.0,-935100000.0,935100000.0,13810800000.0,13810800000.0,15107100000.0,2475053763.0,2475053763.0,5.58,5.58,13810800000.0,13810800000.0,0.0,13810800000.0,-1400000.0,13812200000.0,13812200000.0,-4668000000.0,5766100000.0,2058100000.0,,-935100000.0,935100000.0,4643100000.0,4306500000.0,2275100000.0,377300000.0,377300000.0,8949600000.0,10800600000.0,19750200000.0,19750200000.0,2199456737981.3604
