,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-125061142.730975,0.263898,5725600000.0,-473900000.0,-473900000.0,3007800000.0,1086200000.0,37438900000.0,5251700000.0,4165500000.0,-89300000.0,89300000.0,3356638857.269025,3007800000.0,51780400000.0,627933194.0,626625000.0,4.79,4.8,3007800000.0,3007800000.0,0.0,3007800000.0,7300000.0,3000500000.0,3000500000.0,1075700000.0,4076200000.0,427000000.0,-473900000.0,450300000.0,23600000.0,-89300000.0,89300000.0,4098500000.0,14341500000.0,6749300000.0,1086200000.0,1086200000.0,1550000000.0,1550000000.0,18440000000.0,37438900000.0,55878900000.0,55878900000.0,890155387023.9258
2025-06-30,-9366514.103246,0.260181,5884500000.0,-36000000.0,-36000000.0,3477200000.0,1057400000.0,36310800000.0,5848500000.0,4791100000.0,-93600000.0,93600000.0,3503833485.896754,3477200000.0,50418200000.0,627653430.0,626522523.0,5.54,5.55,3477200000.0,3477200000.0,0.0,3477200000.0,1900000.0,3475300000.0,3475300000.0,1222200000.0,4697500000.0,691800000.0,-36000000.0,,36000000.0,-93600000.0,93600000.0,4135300000.0,14107400000.0,6625700000.0,1057400000.0,1057400000.0,1429000000.0,1429000000.0,18242700000.0,36310800000.0,54553500000.0,54553500000.0,968835783791.9183
2025-03-31,0.0,0.262366,8257700000.0,,,5178300000.0,1096600000.0,49700200000.0,8257700000.0,7161100000.0,1815800000.0,152200000.0,5178300000.0,5178300000.0,56163300000.0,,,,,5178300000.0,5178300000.0,0.0,5178300000.0,8300000.0,5170000000.0,5170000000.0,1838900000.0,7008900000.0,-2181000000.0,,,,1815800000.0,152200000.0,7492500000.0,6463100000.0,-8236500000.0,1096600000.0,881400000.0,10378300000.0,9650100000.0,13955600000.0,49700200000.0,63655800000.0,63655800000.0,
2024-12-31,0.0,0.26337,4908300000.0,,,2783000000.0,1041000000.0,32054700000.0,4908300000.0,3867300000.0,-93900000.0,93900000.0,2783000000.0,2783000000.0,45665800000.0,628216704.0,628216704.0,4.43,4.43,2783000000.0,2783000000.0,0.0,2783000000.0,3400000.0,2779600000.0,2779600000.0,993800000.0,3773400000.0,643300000.0,,,,-93900000.0,93900000.0,3224000000.0,13611100000.0,6090900000.0,1041000000.0,1041000000.0,1786100000.0,1786100000.0,16835100000.0,32054700000.0,48889800000.0,48889800000.0,1042446786453.5625
2024-09-30,0.0,0.26287,4679600000.0,-281200000.0,-281200000.0,2682300000.0,946200000.0,30074500000.0,4679600000.0,3733400000.0,-100800000.0,100800000.0,2682300000.0,2682300000.0,42588600000.0,626705607.0,626705607.0,4.28,4.28,2682300000.0,2682300000.0,0.0,2682300000.0,4600000.0,2677700000.0,2677700000.0,954900000.0,3632600000.0,928900000.0,-281200000.0,,281200000.0,-100800000.0,100800000.0,2804500000.0,12514100000.0,5615300000.0,946200000.0,946200000.0,1306600000.0,1306600000.0,15318600000.0,30074500000.0,45393100000.0,45393100000.0,1249653045916.0308
