,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-1564295000.0,0.265,22299000000.0,-5903000000.0,-5903000000.0,9706000000.0,-2429000000.0,74225000000.0,16396000000.0,13740000000.0,-693000000.0,693000000.0,14044705000.0,9706000000.0,90439000000.0,296728829.0,296366412.0,32.71,32.75,9706000000.0,9706000000.0,0.0,9706000000.0,110000000.0,9596000000.0,9596000000.0,3451000000.0,13047000000.0,2272000000.0,-5903000000.0,-693000000.0,693000000.0,17371000000.0,16214000000.0,13558000000.0,2656000000.0,2656000000.0,33585000000.0,74225000000.0,107810000000.0,107810000000.0,
2025-06-30,0.0,0.273,20415000000.0,,,12541000000.0,2429000000.0,70059000000.0,20415000000.0,17986000000.0,-724000000.0,724000000.0,12541000000.0,12541000000.0,84341000000.0,296617786.0,296267423.0,42.28,42.33,12541000000.0,12541000000.0,0.0,12541000000.0,-5000000.0,12546000000.0,12546000000.0,4716000000.0,17262000000.0,3921000000.0,,-724000000.0,724000000.0,14065000000.0,14282000000.0,11853000000.0,2429000000.0,2429000000.0,28347000000.0,70059000000.0,98406000000.0,98406000000.0,
2025-03-31,0.0,0.262015,23237000000.0,,,11285000000.0,7271000000.0,70744000000.0,23237000000.0,15966000000.0,-673000000.0,673000000.0,11285000000.0,11285000000.0,84263000000.0,,,,,11285000000.0,11285000000.0,0.0,11285000000.0,-1000000.0,11286000000.0,11286000000.0,4007000000.0,15293000000.0,2512000000.0,,-673000000.0,673000000.0,13454000000.0,13519000000.0,11011000000.0,2508000000.0,2508000000.0,26973000000.0,70744000000.0,97717000000.0,97717000000.0,
2024-12-31,0.0,0.262,18058000000.0,0.0,0.0,10854000000.0,2644000000.0,69447000000.0,18058000000.0,15414000000.0,-689000000.0,689000000.0,10854000000.0,10854000000.0,83320000000.0,296638426.0,296152797.0,36.59,36.65,10854000000.0,10854000000.0,0.0,10854000000.0,-13000000.0,10867000000.0,10867000000.0,3858000000.0,14725000000.0,2125000000.0,0.0,-689000000.0,689000000.0,13289000000.0,13873000000.0,11229000000.0,2644000000.0,2644000000.0,27162000000.0,69447000000.0,96609000000.0,96609000000.0,
2024-09-30,0.0,0.258,19982000000.0,,,12510000000.0,2411000000.0,66915000000.0,19982000000.0,17571000000.0,-703000000.0,703000000.0,12510000000.0,12510000000.0,79747000000.0,296656391.0,296094675.0,42.17,42.25,12510000000.0,12510000000.0,0.0,12510000000.0,-6000000.0,12516000000.0,12516000000.0,4352000000.0,16868000000.0,2989000000.0,,-703000000.0,703000000.0,14582000000.0,12832000000.0,10421000000.0,2411000000.0,2411000000.0,27414000000.0,66915000000.0,94329000000.0,94329000000.0,
