,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.275162,5910200000.0,0.0,0.0,2689800000.0,75500000.0,999500000.0,5910200000.0,5834700000.0,-2123800000.0,2123800000.0,2689800000.0,2689800000.0,1390100000.0,6404285714.0,6404285714.0,0.42,0.42,2689800000.0,2689800000.0,0.0,2689800000.0,2689800000.0,2689800000.0,1021100000.0,3710900000.0,1500000.0,0.0,,-2123800000.0,2123800000.0,5473600000.0,390600000.0,2460400000.0,75500000.0,75500000.0,5864200000.0,999500000.0,6863700000.0,6863700000.0,1888944149521.6157
2025-06-30,64310969.759171,0.2251,4953300000.0,285700000.0,285700000.0,3246600000.0,61300000.0,636800000.0,5239000000.0,5177700000.0,-988000000.0,988000000.0,3025210969.759171,3246600000.0,-343100000.0,6365882353.0,6365882353.0,0.51,0.51,3246600000.0,3246600000.0,0.0,3246600000.0,3246600000.0,3246600000.0,943100000.0,4189700000.0,70000000.0,285700000.0,-285700000.0,-988000000.0,988000000.0,4507500000.0,-979900000.0,919000000.0,61300000.0,61300000.0,3527600000.0,636800000.0,4164400000.0,4164400000.0,2076813556071.0059
2025-03-31,0.0,0.201359,4092200000.0,,,3161100000.0,57600000.0,293000000.0,4092200000.0,4034600000.0,3768200000.0,76500000.0,3161100000.0,3161100000.0,4254300000.0,,,,,3161100000.0,3161100000.0,0.0,3161100000.0,3161100000.0,3161100000.0,797000000.0,3958100000.0,247400000.0,,,3768200000.0,76500000.0,-115100000.0,3961300000.0,-418600000.0,57600000.0,-65900000.0,3846200000.0,293000000.0,4139200000.0,4139200000.0,
2024-12-31,0.0,0.218546,3829800000.0,0.0,0.0,2947800000.0,57600000.0,535400000.0,3829800000.0,3772200000.0,0.0,0.0,2947800000.0,2947800000.0,-606100000.0,6408260870.0,6408260870.0,0.46,0.46,2947800000.0,2947800000.0,0.0,2947800000.0,2947800000.0,2947800000.0,824400000.0,3772200000.0,105400000.0,0.0,,0.0,0.0,3076000000.0,-1141500000.0,714500000.0,57600000.0,57600000.0,1934500000.0,535400000.0,2469900000.0,2469900000.0,1911167391128.8394
2024-09-30,0.0,0.109142,7791000000.0,,,6890700000.0,56100000.0,677100000.0,7791000000.0,7734900000.0,0.0,0.0,6890700000.0,6890700000.0,-608600000.0,6321743119.0,6321743119.0,1.09,1.09,6890700000.0,6890700000.0,0.0,6890700000.0,6890700000.0,6890700000.0,844200000.0,7734900000.0,3500000.0,,,0.0,0.0,5474300000.0,-1285700000.0,727500000.0,56100000.0,56100000.0,4188600000.0,677100000.0,4865700000.0,4865700000.0,2212952339339.609
