,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-584659907.16533,0.157251,48181300000.0,-3718000000.0,-3718000000.0,30536100000.0,48279400000.0,44463300000.0,44463300000.0,-8356100000.0,8356100000.0,33669440092.83467,30536100000.0,53028700000.0,2174935897.0,2174935897.0,14.04,14.04,30536100000.0,30536100000.0,0.0,30536100000.0,106800000.0,30429300000.0,,30429300000.0,5677900000.0,36107200000.0,2340800000.0,-1460800000.0,1460800000.0,,-8356100000.0,8356100000.0,44017200000.0,4749300000.0,4749300000.0,48766500000.0,48279400000.0,97045900000.0,97045900000.0,3196720887608.6416
2025-06-30,-540447317.808504,0.139568,50175100000.0,-3872300000.0,-3872300000.0,33145900000.0,43504100000.0,46302800000.0,46302800000.0,-7826800000.0,7826800000.0,36477752682.1915,33145900000.0,48857200000.0,2160749674.0,2160749674.0,15.34,15.34,33145900000.0,33145900000.0,0.0,33145900000.0,39900000.0,33106000000.0,,33106000000.0,5370000000.0,38476000000.0,2960400000.0,0.0,,,-7826800000.0,7826800000.0,42404200000.0,5353100000.0,5353100000.0,47757300000.0,43504100000.0,91261400000.0,91261400000.0,3133519071729.445
2025-03-31,-561539320.99447,0.144066,45057500000.0,-3897800000.0,-3897800000.0,30142200000.0,16563600000.0,41159700000.0,41159700000.0,55000000.0,5840400000.0,33478460679.00553,30142200000.0,45912800000.0,,,,,30142200000.0,30142200000.0,0.0,30142200000.0,-88800000.0,30231000000.0,0.0,30231000000.0,5088300000.0,35319300000.0,-7586200000.0,-4661500000.0,2825000000.0,1836500000.0,55000000.0,5840400000.0,38971600000.0,29349200000.0,11814900000.0,68320800000.0,16563600000.0,84884400000.0,84884400000.0,
2024-12-31,-279047439.790455,0.16606,39465900000.0,-1680400000.0,-1680400000.0,25202600000.0,37414300000.0,37785500000.0,37785500000.0,-7586800000.0,7586800000.0,26603952560.209545,25202600000.0,42672500000.0,2159605827.0,2159605827.0,11.67,11.67,25202600000.0,25202600000.0,0.0,25202600000.0,18700000.0,25183900000.0,0.0,25183900000.0,5014800000.0,30198700000.0,2233500000.0,-278500000.0,278500000.0,278500000.0,-7586800000.0,7586800000.0,36963000000.0,5258200000.0,5258200000.0,42221200000.0,37414300000.0,79635500000.0,79635500000.0,2645818196406.84
2024-09-30,179670724.428717,0.163814,34640500000.0,1096800000.0,1096800000.0,24450000000.0,33454500000.0,35737300000.0,35737300000.0,-6885600000.0,6885600000.0,23532870724.42872,24450000000.0,37747200000.0,2159893993.0,2159893993.0,11.32,11.32,24450000000.0,24450000000.0,0.0,24450000000.0,324600000.0,24125400000.0,,24125400000.0,4726300000.0,28851700000.0,3053500000.0,-517700000.0,,517700000.0,-6885600000.0,6885600000.0,32923000000.0,4292700000.0,4292700000.0,37215700000.0,33454500000.0,70670200000.0,70670200000.0,3112814069649.2305
