,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.229587,15256000000.0,,,9569000000.0,975000000.0,27425000000.0,15256000000.0,14281000000.0,-1850000000.0,1850000000.0,9569000000.0,9569000000.0,33549000000.0,1000941423.0,997810219.0,9.56,9.59,9569000000.0,9569000000.0,0.0,9569000000.0,-8000000.0,9577000000.0,9577000000.0,2854000000.0,12431000000.0,1029000000.0,,-1850000000.0,1850000000.0,13176000000.0,6124000000.0,3430000000.0,975000000.0,975000000.0,19300000000.0,27425000000.0,46725000000.0,46725000000.0,1058976034145.9021
2025-06-30,0.0,0.252795,11172000000.0,,,6747000000.0,659000000.0,20950000000.0,11172000000.0,10513000000.0,-1478000000.0,1478000000.0,6747000000.0,6747000000.0,25732000000.0,1001038576.0,998076923.0,6.74,6.76,6747000000.0,6747000000.0,0.0,6747000000.0,-4000000.0,6751000000.0,6751000000.0,2284000000.0,9035000000.0,1330000000.0,,-1478000000.0,1478000000.0,9185000000.0,4782000000.0,2603000000.0,659000000.0,659000000.0,13967000000.0,20950000000.0,34917000000.0,34917000000.0,1376999166059.7383
2025-03-31,240252591.656131,0.22225,13174000000.0,1081000000.0,1081000000.0,9217000000.0,-359000000.0,25672000000.0,14255000000.0,14255000000.0,41000000.0,2390000000.0,8376252591.656131,9217000000.0,28561000000.0,,,,,9217000000.0,9217000000.0,0.0,9217000000.0,-11000000.0,9228000000.0,9228000000.0,2637000000.0,11865000000.0,-1832000000.0,-1138000000.0,41000000.0,2390000000.0,12588000000.0,2889000000.0,107000000.0,-359000000.0,-359000000.0,15477000000.0,25672000000.0,41149000000.0,41149000000.0,
2024-12-31,0.0,0.184463,13698000000.0,0.0,0.0,9444000000.0,672000000.0,23995000000.0,13698000000.0,13026000000.0,-1441000000.0,1441000000.0,9444000000.0,9444000000.0,28443000000.0,999365079.0,996202532.0,9.45,9.48,9444000000.0,9444000000.0,0.0,9444000000.0,-4000000.0,9448000000.0,9448000000.0,2137000000.0,11585000000.0,636000000.0,0.0,-1441000000.0,1441000000.0,12387000000.0,4448000000.0,2462000000.0,672000000.0,672000000.0,16835000000.0,23995000000.0,40830000000.0,40830000000.0,1379576459308.3218
2024-09-30,0.0,0.244329,7629000000.0,0.0,0.0,4229000000.0,665000000.0,15720000000.0,7629000000.0,6964000000.0,-1365000000.0,1365000000.0,4229000000.0,4229000000.0,19876000000.0,999763593.0,995058824.0,4.23,4.25,4229000000.0,4229000000.0,0.0,4229000000.0,-2000000.0,4231000000.0,4231000000.0,1368000000.0,5599000000.0,589000000.0,0.0,-1365000000.0,1365000000.0,6381000000.0,4156000000.0,2088000000.0,665000000.0,665000000.0,10537000000.0,15720000000.0,26257000000.0,26257000000.0,1224265133793.5996
