,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
2025-12-31,0.0,0.242587,0.0,0.0,6587600000.0,6587600000.0,6587600000.0,60349900000.0,501339422.0,497177358.0,13.14,13.25,6587600000.0,6587600000.0,6587600000.0,6587600000.0,6587600000.0,2109900000.0,8697500000.0,0.0,0.0,0.0,3241300000.0,,,69047400000.0,69047400000.0,34277500000.0,975511681993.6809
2025-06-30,0.0,0.248191,0.0,0.0,7470800000.0,7470800000.0,7470800000.0,54303200000.0,500723861.0,496069057.0,14.92,15.06,7470800000.0,7470800000.0,7470800000.0,7470800000.0,7470800000.0,2466300000.0,9937100000.0,0.0,0.0,0.0,10900000.0,,,64240300000.0,64240300000.0,32180700000.0,1008802267775.2408
2025-03-31,-1851478.599222,0.237369,-7800000.0,-7800000.0,5095900000.0,5101848521.400778,5095900000.0,63193700000.0,,,,,5095900000.0,5095900000.0,5095900000.0,5095900000.0,5095900000.0,1586100000.0,6682000000.0,-37300000.0,-7800000.0,4200000.0,-665200000.0,2422600000.0,1006500000.0,69875500000.0,69875500000.0,46715300000.0,
2024-12-31,0.0,0.245524,0.0,0.0,7243800000.0,7243800000.0,7243800000.0,52061900000.0,500262431.0,495133288.0,14.48,14.63,7243800000.0,7243800000.0,7243800000.0,7243800000.0,7243800000.0,2357300000.0,9601100000.0,0.0,0.0,0.0,3300000000.0,256500000.0,256500000.0,61663000000.0,61663000000.0,34991900000.0,879018189025.831
2024-09-30,0.0,0.244894,0.0,0.0,6939500000.0,6939500000.0,6939500000.0,52207200000.0,499963977.0,493914591.0,13.88,14.05,6939500000.0,6939500000.0,6939500000.0,6939500000.0,6939500000.0,2250600000.0,9190100000.0,0.0,0.0,0.0,4294000000.0,792500000.0,792500000.0,61497300000.0,61497300000.0,34313000000.0,1063457924393.0039
