,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.249593,0.0,0.0,25296800000.0,1766300000.0,65799100000.0,52593500000.0,118392600000.0,25296800000.0,25296500000.0,1882180060.0,1880780669.0,13.44,13.45,25296500000.0,25296500000.0,25296500000.0,0.0,25296500000.0,-300000.0,25296800000.0,8395100000.0,33635200000.0,0.0,569500000.0,20600400000.0,6449500000.0,1766300000.0,1766300000.0,67338800000.0,67338800000.0,1873633725416.5483
2025-06-30,0.0,0.258403,0.0,0.0,21594500000.0,1731100000.0,57727900000.0,54007600000.0,111735500000.0,21594500000.0,21594000000.0,1882650392.0,1881010453.0,11.47,11.48,21594000000.0,21594000000.0,21594000000.0,100000.0,21593900000.0,-500000.0,21594400000.0,7509800000.0,29062300000.0,0.0,1350200000.0,18075700000.0,6570900000.0,1731100000.0,1731100000.0,59993700000.0,59993700000.0,1315637193904.6624
2025-03-31,-21930857.726246,0.228209,-96100000.0,-96100000.0,21437700000.0,1710600000.0,55665600000.0,52239900000.0,107905500000.0,21511869142.273754,21437700000.0,,,,,21437700000.0,21437700000.0,21437700000.0,0.0,21437700000.0,0.0,21437700000.0,6325900000.0,27719800000.0,-96100000.0,3258100000.0,16974100000.0,-1404600000.0,1710600000.0,-1944000000.0,54219600000.0,54219600000.0,
2024-12-31,3893291168.402967,0.250588,15536600000.0,15536600000.0,32336600000.0,1619200000.0,55895800000.0,47512600000.0,103408400000.0,20693291168.402966,32468500000.0,1882231884.0,1880052113.0,17.25,17.27,32468500000.0,32468500000.0,32468500000.0,-17900000.0,32486400000.0,131900000.0,32354500000.0,10807400000.0,43128100000.0,15536600000.0,1160000000.0,17149500000.0,5826200000.0,1619200000.0,1619200000.0,57999300000.0,57999300000.0,1069956315740.3296
2024-09-30,0.0,0.247233,0.0,0.0,20617700000.0,1588600000.0,54640800000.0,43504200000.0,98145000000.0,20617700000.0,21404000000.0,1882497801.0,1879192274.0,11.37,11.39,21404000000.0,21404000000.0,21404000000.0,-128700000.0,21532700000.0,786300000.0,20746400000.0,6802700000.0,27515300000.0,0.0,620800000.0,16129600000.0,5474300000.0,1588600000.0,1588600000.0,55994800000.0,55994800000.0,1314926485002.2815
