,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Selling General And Administration,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Other Non Interest Expense,Market Cap
2025-12-31,0.0,0.243647,,,125379800000.0,264895200000.0,218743200000.0,483638400000.0,125379800000.0,125379800000.0,7251578947.0,7148221209.0,17.29,17.54,125379800000.0,125379800000.0,125379800000.0,-9431500000.0,134811300000.0,,134811300000.0,43427300000.0,178238600000.0,,258585200000.0,258585200000.0,196151600000.0,62433600000.0,549077600000.0,549077600000.0,86486600000.0,9599346436083.219
2025-09-30,0.0,0.251391,0.0,0.0,133570600000.0,261635200000.0,220173900000.0,481809100000.0,133570600000.0,133570600000.0,,,,,133570600000.0,133570600000.0,133570600000.0,-9610900000.0,143181500000.0,0.0,143181500000.0,48081800000.0,191263300000.0,0.0,256445500000.0,256445500000.0,195243300000.0,61202200000.0,541292000000.0,541292000000.0,85107600000.0,
2025-06-30,0.0,0.260811,,,135576000000.0,259899000000.0,230900600000.0,490799600000.0,135576000000.0,135576000000.0,7246178514.0,7128075710.0,18.71,19.02,135576000000.0,135576000000.0,135576000000.0,-8987300000.0,144563300000.0,,144563300000.0,51006800000.0,195570100000.0,,225105800000.0,225105800000.0,158723600000.0,66382200000.0,514859700000.0,514859700000.0,76585800000.0,10226861313808.783
2025-03-31,0.0,0.250186,0.0,0.0,135022155000.0,253395912000.0,230473229000.0,483869200000.0,135022155000.0,135022200000.0,7166783439.0,7065525903.0,18.84,19.11,134604200000.0,135022200000.0,135022155000.0,-8514701000.0,143536900000.0,,143536665000.0,47893100000.0,191429765000.0,0.0,-134083911000.0,287304400000.0,-267562142000.0,58179275000.0,558564237000.0,558564237000.0,79172000000.0,9453854781314.541
2024-12-31,0.0,0.251572,,,128833700000.0,244037100000.0,226334100000.0,470371200000.0,128833700000.0,128833700000.0,7177364903.0,7055514786.0,17.95,18.26,128833700000.0,128833700000.0,128833700000.0,-9635200000.0,138468900000.0,,138468900000.0,46544100000.0,185013000000.0,,245583700000.0,245583700000.0,188844800000.0,56738900000.0,519931500000.0,519931500000.0,76839000000.0,8973460707473.0
