,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.262236,22657800000.0,0.0,0.0,15791000000.0,1354400000.0,38245000000.0,22657800000.0,21303400000.0,-20300000.0,20300000.0,15791000000.0,15791000000.0,51620500000.0,7310648148.0,7310648148.0,2.16,2.16,15791000000.0,15791000000.0,0.0,15791000000.0,-6000000.0,15797000000.0,15797000000.0,5581200000.0,21283100000.0,1385400000.0,0.0,-20300000.0,20300000.0,19918000000.0,13375500000.0,3822300000.0,1354400000.0,1354400000.0,33293500000.0,38245000000.0,71538500000.0,71538500000.0,2908951027917.193
2025-06-30,0.0,0.249101,14015900000.0,0.0,0.0,9699100000.0,1207900000.0,20760800000.0,14015900000.0,12808000000.0,-14400000.0,14400000.0,9699100000.0,9699100000.0,33222600000.0,7292556391.0,7292556391.0,1.33,1.33,9699100000.0,9699100000.0,0.0,9699100000.0,8600000.0,9690500000.0,9690500000.0,3186900000.0,12793600000.0,1633200000.0,0.0,-14400000.0,14400000.0,11174800000.0,12461800000.0,4289100000.0,1207900000.0,1207900000.0,23636600000.0,20760800000.0,44397400000.0,44397400000.0,3053697899918.214
2025-03-31,-368692671.749336,0.260266,31520700000.0,-1416600000.0,-1416600000.0,21270400000.0,1375800000.0,47563100000.0,30104100000.0,28728300000.0,6390600000.0,55700000.0,22318307328.250664,21270400000.0,56602100000.0,,,,,21270400000.0,21270400000.0,0.0,21270400000.0,200000.0,21270200000.0,21270200000.0,7462500000.0,28672600000.0,-5356500000.0,-1621900000.0,6390600000.0,55700000.0,28379300000.0,9039000000.0,3706200000.0,1375800000.0,973500000.0,37418300000.0,47563100000.0,84981400000.0,84981400000.0,
2024-12-31,0.0,0.253696,18558700000.0,0.0,0.0,13109500000.0,1109300000.0,29813500000.0,18558700000.0,17449400000.0,-13200000.0,13200000.0,13109500000.0,13109500000.0,42121300000.0,7323743017.0,7323743017.0,1.79,1.79,13109500000.0,13109500000.0,0.0,13109500000.0,-6500000.0,13116000000.0,13116000000.0,4423500000.0,17436200000.0,1863800000.0,0.0,-13200000.0,13200000.0,15585600000.0,12307800000.0,4478800000.0,1109300000.0,1109300000.0,27893400000.0,29813500000.0,57706900000.0,57706900000.0,2121157845542.1987
2024-09-30,0.0,0.250014,15577100000.0,0.0,0.0,10924500000.0,1111900000.0,21418500000.0,15577100000.0,14465200000.0,-13200000.0,13200000.0,10924500000.0,10924500000.0,33161400000.0,7283000000.0,7283000000.0,1.5,1.5,10924500000.0,10924500000.0,0.0,10924500000.0,-3300000.0,10927800000.0,10927800000.0,3613200000.0,14452000000.0,1577600000.0,0.0,-13200000.0,13200000.0,12887600000.0,11742900000.0,4070900000.0,1111900000.0,1111900000.0,24630500000.0,21418500000.0,46049000000.0,46049000000.0,2051433824127.1973
