,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.173818,10928300000.0,2667000000.0,7098300000.0,16453300000.0,10928300000.0,3830000000.0,-590400000.0,590400000.0,2667000000.0,2667000000.0,45630400000.0,36079545.0,36079545.0,73.92,73.92,2667000000.0,2667000000.0,0.0,2667000000.0,-9500000.0,2676500000.0,2676500000.0,563100000.0,3239600000.0,1455200000.0,-590400000.0,590400000.0,2374800000.0,29177100000.0,7112700000.0,7098300000.0,7098300000.0,11136200000.0,11136200000.0,31551900000.0,16453300000.0,48005200000.0,48005200000.0,958813908375.0
2025-06-30,0.0,0.258875,15678300000.0,6426600000.0,6538100000.0,17476400000.0,15678300000.0,9140200000.0,-455300000.0,455300000.0,6426600000.0,6426600000.0,46020900000.0,36080171.0,36080171.0,178.12,178.12,6426600000.0,6426600000.0,0.0,6426600000.0,-10000000.0,6436600000.0,6436600000.0,2248300000.0,8684900000.0,2352300000.0,-455300000.0,455300000.0,6787900000.0,28544500000.0,7351700000.0,6538100000.0,6538100000.0,11639000000.0,11639000000.0,35332400000.0,17476400000.0,52808800000.0,52808800000.0,1114228475043.7559
2025-03-31,0.0,0.241108,15827100000.0,5743200000.0,7875400000.0,23508000000.0,15827100000.0,7951700000.0,1398700000.0,375000000.0,5743200000.0,5743200000.0,46068900000.0,,,,,5743200000.0,5743200000.0,0.0,5743200000.0,-6700000.0,5749900000.0,5749900000.0,1826800000.0,7576700000.0,-4310500000.0,1398700000.0,375000000.0,6187500000.0,22560900000.0,-3517100000.0,7875400000.0,7875400000.0,18067500000.0,16974200000.0,28748400000.0,23508000000.0,52256400000.0,52256400000.0,
2024-12-31,0.0,0.137911,10755800000.0,1934000000.0,7991100000.0,16088100000.0,10755800000.0,2764700000.0,-517600000.0,517600000.0,1934000000.0,1934000000.0,44069900000.0,36075359.0,36075359.0,53.61,53.61,1934000000.0,1934000000.0,0.0,1934000000.0,-3200000.0,1937200000.0,1937200000.0,309900000.0,2247100000.0,1107800000.0,-517600000.0,517600000.0,1656900000.0,27981800000.0,6736000000.0,7991100000.0,7991100000.0,10491700000.0,10491700000.0,29638700000.0,16088100000.0,45726800000.0,45726800000.0,920855597631.9238
2024-09-30,0.0,0.3,7948600000.0,764400000.0,7158700000.0,15771100000.0,7948600000.0,789900000.0,-557100000.0,557100000.0,764400000.0,764400000.0,41565600000.0,36090652.0,36090652.0,21.18,21.18,764400000.0,764400000.0,0.0,764400000.0,-2000000.0,766400000.0,766400000.0,-533600000.0,232800000.0,1813800000.0,-557100000.0,557100000.0,-1023900000.0,25794500000.0,6358500000.0,7158700000.0,7158700000.0,9399900000.0,9399900000.0,24770600000.0,15771100000.0,40541700000.0,40541700000.0,943285652153.3047
