,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.0,18642000000.0,-591400000.0,-591400000.0,18021900000.0,18300000.0,48173100000.0,18050600000.0,18032300000.0,18613300000.0,18021900000.0,48538900000.0,13059347826.0,13059347826.0,1.38,1.38,18021900000.0,18021900000.0,0.0,18021900000.0,18021900000.0,0.0,18021900000.0,0.0,18021900000.0,578600000.0,-591400000.0,591400000.0,18032300000.0,365800000.0,391600000.0,14300000.0,14300000.0,18398100000.0,48173100000.0,66571200000.0,66571200000.0,1627455961944.6902
2025-06-30,0.0,0.0,17441600000.0,0.0,0.0,17456900000.0,13300000.0,51280900000.0,17441600000.0,17428300000.0,17456900000.0,17456900000.0,51582400000.0,13027537313.0,13027537313.0,1.34,1.34,17456900000.0,17456900000.0,0.0,17456900000.0,17456900000.0,0.0,17456900000.0,0.0,17456900000.0,28600000.0,0.0,61000000.0,17428300000.0,301500000.0,431300000.0,13300000.0,13300000.0,17729800000.0,51280900000.0,69010700000.0,69010700000.0,1830767555286.445
2025-03-31,0.0,0.0,96786300000.0,2000000.0,2000000.0,16818700000.0,12900000.0,-30447000000.0,96788300000.0,96775400000.0,16816700000.0,16818700000.0,-30011100000.0,,,,,16818700000.0,16818700000.0,0.0,16818700000.0,16818700000.0,,16818700000.0,0.0,16818700000.0,23400000.0,2000000.0,33800000.0,96372600000.0,435900000.0,337200000.0,12900000.0,8900000.0,96808500000.0,-30447000000.0,66361500000.0,66361500000.0,
2024-12-31,0.0,0.0,16290400000.0,0.0,0.0,16306600000.0,13400000.0,50987100000.0,16290400000.0,16277000000.0,16306600000.0,16306600000.0,51357300000.0,13045280000.0,13045280000.0,1.25,1.25,16306600000.0,16306600000.0,0.0,16306600000.0,16306600000.0,0.0,16306600000.0,0.0,16306600000.0,29600000.0,0.0,4600000.0,16277000000.0,370200000.0,356800000.0,13400000.0,13400000.0,16647200000.0,50987100000.0,67634300000.0,67634300000.0,1915950058088.379
2024-09-30,0.0,0.0,16138200000.0,0.0,0.0,16126500000.0,10900000.0,52516600000.0,16133500000.0,16117900000.0,16126500000.0,16126500000.0,52875500000.0,13110975610.0,13110975610.0,1.23,1.23,16126500000.0,16126500000.0,0.0,16126500000.0,16126500000.0,0.0,16126500000.0,0.0,16126500000.0,5400000.0,0.0,4700000.0,16117900000.0,358900000.0,348000000.0,10900000.0,10900000.0,16476800000.0,52516600000.0,68993400000.0,68993400000.0,2039534731405.099
