,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-180254437.869822,0.242604,5062000000.0,-743000000.0,-743000000.0,2683000000.0,714000000.0,27158000000.0,4319000000.0,3605000000.0,-56000000.0,56000000.0,3245745562.130178,2773000000.0,34802000000.0,355512821.0,355512821.0,7.8,7.8,2773000000.0,2773000000.0,0.0,2773000000.0,-5000000.0,2778000000.0,90000000.0,2688000000.0,861000000.0,3549000000.0,843000000.0,-743000000.0,743000000.0,-56000000.0,56000000.0,3505000000.0,7644000000.0,2246000000.0,714000000.0,714000000.0,11149000000.0,27158000000.0,38307000000.0,38307000000.0,1089042441928.3245
2025-09-30,0.0,0.268315,7396000000.0,0.0,0.0,4849000000.0,717000000.0,36528000000.0,7396000000.0,6679000000.0,-45000000.0,45000000.0,4849000000.0,4849000000.0,46257000000.0,,,,,4849000000.0,4849000000.0,0.0,4849000000.0,-5000000.0,4854000000.0,0.0,4854000000.0,1780000000.0,6634000000.0,1224000000.0,0.0,0.0,-45000000.0,45000000.0,5455000000.0,9729000000.0,4563000000.0,717000000.0,717000000.0,15184000000.0,36528000000.0,51712000000.0,51712000000.0,
2025-06-30,14109745.390694,0.256541,6400000000.0,55000000.0,55000000.0,4229000000.0,711000000.0,30349000000.0,6455000000.0,5744000000.0,-49000000.0,49000000.0,4188109745.390694,4229000000.0,38965000000.0,355677040.0,355677040.0,11.89,11.89,4229000000.0,4229000000.0,0.0,4229000000.0,-5000000.0,4234000000.0,0.0,4234000000.0,1461000000.0,5695000000.0,1186000000.0,55000000.0,-55000000.0,-49000000.0,49000000.0,4503000000.0,8616000000.0,3726000000.0,711000000.0,711000000.0,13119000000.0,30349000000.0,43468000000.0,43468000000.0,1156483895560.0
2025-03-31,0.0,0.255793,6190000000.0,0.0,0.0,4074000000.0,686000000.0,29608000000.0,6190000000.0,5504000000.0,-23000000.0,23000000.0,4074000000.0,5820000000.0,38601000000.0,355745721.0,355745721.0,16.36,16.36,5820000000.0,5820000000.0,0.0,5820000000.0,-5000000.0,5825000000.0,1746000000.0,4079000000.0,1402000000.0,5481000000.0,1515000000.0,0.0,,-23000000.0,23000000.0,3989000000.0,8993000000.0,4064000000.0,686000000.0,686000000.0,12982000000.0,29608000000.0,42590000000.0,42590000000.0,1101612048663.4343
2024-12-31,0.0,0.257412,5586000000.0,0.0,0.0,3629000000.0,664000000.0,22524000000.0,5586000000.0,4922000000.0,-31000000.0,31000000.0,3629000000.0,6143000000.0,30399000000.0,355909618.0,355909618.0,17.26,17.26,6143000000.0,6143000000.0,0.0,6143000000.0,-3000000.0,6146000000.0,2514000000.0,3632000000.0,1259000000.0,4891000000.0,1720000000.0,0.0,,-31000000.0,31000000.0,3202000000.0,7875000000.0,3287000000.0,664000000.0,664000000.0,11077000000.0,22524000000.0,33601000000.0,33601000000.0,1360710766723.3135
