,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.256818,12899700000.0,737800000.0,35867000000.0,36457400000.0,72324400000.0,12899700000.0,12899700000.0,845881967.0,843669065.0,15.25,15.29,12899700000.0,12899700000.0,12899700000.0,0.0,12899700000.0,12899700000.0,4457700000.0,17357400000.0,1185000000.0,17173300000.0,5499400000.0,737800000.0,737800000.0,43629400000.0,43629400000.0,1435020214279.671
2025-06-30,0.0,0.257291,11378300000.0,674400000.0,31879300000.0,34680600000.0,66559900000.0,11378300000.0,11378300000.0,842837037.0,840968219.0,13.5,13.53,11378300000.0,11378300000.0,11378300000.0,0.0,11378300000.0,11378300000.0,3941700000.0,15320000000.0,1756400000.0,14714300000.0,4683300000.0,674400000.0,674400000.0,38850300000.0,38850300000.0,1367457645454.8909
2025-03-31,0.0,0.258878,12595600000.0,640900000.0,31194800000.0,33453800000.0,64648600000.0,12595600000.0,12595600000.0,,,,,12595600000.0,12595600000.0,12595600000.0,0.0,12595400000.0,12595400000.0,4390200000.0,16958600000.0,1536900000.0,14536700000.0,1161000000.0,640900000.0,461900000.0,35252800000.0,35252800000.0,
2024-12-31,0.0,0.257524,10882100000.0,591500000.0,28918800000.0,32749300000.0,61668100000.0,10882100000.0,10882100000.0,842920217.0,840316602.0,12.91,12.95,10882100000.0,10882100000.0,10882100000.0,0.0,10882100000.0,10882100000.0,3774400000.0,14656500000.0,1268800000.0,14331000000.0,4806400000.0,591500000.0,591500000.0,35616700000.0,35616700000.0,994444330157.7993
2024-09-30,0.0,0.258323,9678000000.0,626300000.0,27175500000.0,30585700000.0,57761200000.0,9678000000.0,9678000000.0,842297650.0,840104167.0,11.49,11.52,9678000000.0,9678000000.0,9678000000.0,0.0,9678000000.0,9678000000.0,3370800000.0,13048800000.0,455200000.0,13360300000.0,4670100000.0,626300000.0,626300000.0,32637700000.0,32637700000.0,1348001488393.945
