,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-8088491262.963489,0.238528,193870000000.0,-33910000000.0,-33910000000.0,106570000000.0,13800000000.0,397920000000.0,159960000000.0,146160000000.0,-5380000000.0,5380000000.0,,132391508737.03651,106570000000.0,501980000000.0,,3618675722.0,3618675722.0,29.45,29.45,106570000000.0,106570000000.0,0.0,106570000000.0,-630000000.0,107200000000.0,107200000000.0,33580000000.0,140780000000.0,11180000000.0,-33910000000.0,31380000000.0,,2530000000.0,-5380000000.0,5380000000.0,,168890000000.0,104060000000.0,90260000000.0,13800000000.0,13800000000.0,,,272950000000.0,397920000000.0,670870000000.0,670870000000.0,11395048174345.303
2025-06-30,298910418.752577,0.245009,184130000000.0,1220000000.0,1220000000.0,127600000000.0,13610000000.0,352990000000.0,185350000000.0,171740000000.0,12240000000.0,1950000000.0,14190000000.0,126678910418.75258,127600000000.0,478980000000.0,,3618087518.0,3618087518.0,35.27,35.27,127600000000.0,127600000000.0,0.0,127600000000.0,-590000000.0,128190000000.0,128190000000.0,41600000000.0,169790000000.0,220000000.0,-130000000.0,-120000000.0,250000000.0,,12240000000.0,1950000000.0,14190000000.0,155390000000.0,125990000000.0,42370000000.0,13610000000.0,13610000000.0,38590000000.0,38590000000.0,281380000000.0,352990000000.0,634370000000.0,634370000000.0,12215011489694.293
2025-03-31,440912083.892208,0.250518,178320000000.0,1760000000.0,1760000000.0,122240000000.0,13790000000.0,277570000000.0,180080000000.0,166290000000.0,30690000000.0,2270000000.0,,120920912083.89221,122240000000.0,487500000000.0,,,,,,122240000000.0,122240000000.0,0.0,122240000000.0,-690000000.0,122930000000.0,122930000000.0,41090000000.0,164020000000.0,-28750000000.0,-930000000.0,,,,30690000000.0,2270000000.0,,157290000000.0,209930000000.0,-61990000000.0,13790000000.0,13790000000.0,,,367220000000.0,277570000000.0,644790000000.0,644790000000.0,
2024-12-31,0.0,0.25333,182770000000.0,0.0,0.0,123800000000.0,13770000000.0,394750000000.0,182770000000.0,169000000000.0,-2340000000.0,2340000000.0,,123800000000.0,123800000000.0,483160000000.0,,3618824905.0,3618824905.0,34.21,34.21,123800000000.0,123800000000.0,0.0,123800000000.0,-640000000.0,124440000000.0,124440000000.0,42220000000.0,166660000000.0,12430000000.0,0.0,,,0.0,-2340000000.0,2340000000.0,,156570000000.0,88410000000.0,74640000000.0,13770000000.0,13770000000.0,,,244980000000.0,394750000000.0,639730000000.0,639730000000.0,14064564760286.848
2024-09-30,0.0,0.254304,174600000000.0,0.0,0.0,119090000000.0,12660000000.0,398840000000.0,174600000000.0,161940000000.0,-1620000000.0,1620000000.0,,119090000000.0,119090000000.0,487940000000.0,,3617557716.0,3617557716.0,32.92,32.92,119090000000.0,119090000000.0,0.0,119090000000.0,-460000000.0,119550000000.0,119550000000.0,40770000000.0,160320000000.0,7290000000.0,0.0,,,,-1620000000.0,1620000000.0,,154650000000.0,89100000000.0,76440000000.0,12660000000.0,12660000000.0,,,243750000000.0,398840000000.0,642590000000.0,642590000000.0,14620376289877.234
