,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.275523,7357180000.0,2517870000.0,3301990000.0,18760560000.0,7357180000.0,4055190000.0,-466340000.0,466340000.0,2517870000.0,2517870000.0,38953660000.0,3402527027.0,3402527027.0,0.74,0.74,2517870000.0,2517870000.0,0.0,2517870000.0,-82170000.0,2600040000.0,2600040000.0,988810000.0,3588850000.0,991070000.0,-466340000.0,466340000.0,3090570000.0,20193100000.0,11028480000.0,3301990000.0,3301990000.0,23283670000.0,18760560000.0,42044230000.0,42044230000.0,1666727884943.327
2025-06-30,0.0,0.234726,20747420000.0,13170240000.0,3061510000.0,31911020000.0,20747420000.0,17685910000.0,-365470000.0,365470000.0,13170240000.0,13170240000.0,53247490000.0,3385665810.0,3385665810.0,3.89,3.89,13170240000.0,13170240000.0,0.0,13170240000.0,-84640000.0,13254880000.0,13254880000.0,4065560000.0,17320440000.0,771580000.0,-365470000.0,365470000.0,16926220000.0,21336470000.0,12778380000.0,3061510000.0,3061510000.0,38262690000.0,31911020000.0,70173710000.0,70173710000.0,1547629191343.8088
2025-03-31,0.0,0.252043,12914450000.0,7264880000.0,2725130000.0,25290630000.0,12914450000.0,10189320000.0,-411240000.0,411240000.0,7264880000.0,7264880000.0,45754840000.0,3379013953.0,3379013953.0,2.15,2.15,7264880000.0,7264880000.0,0.0,7264880000.0,-48700000.0,7313580000.0,7313580000.0,2464500000.0,9778080000.0,280580000.0,-411240000.0,411240000.0,9914510000.0,20464210000.0,12624060000.0,2725130000.0,2725130000.0,30378720000.0,25290630000.0,55669350000.0,55669350000.0,1818298060320.4119
2024-12-31,0.0,0.230163,6239240000.0,1851460000.0,2607820000.0,16202020000.0,6239240000.0,3631420000.0,-1090050000.0,1090050000.0,1851460000.0,1851460000.0,33696030000.0,3306178571.0,3306178571.0,0.56,0.56,1851460000.0,1851460000.0,0.0,1851460000.0,-104980000.0,1956440000.0,1956440000.0,584930000.0,2541370000.0,446390000.0,-1090050000.0,1090050000.0,3191890000.0,17494010000.0,10095960000.0,2607820000.0,2607820000.0,20685900000.0,16202020000.0,36887920000.0,36887920000.0,2104990259542.8965
2024-09-30,0.0,0.214097,11752770000.0,6196130000.0,2566110000.0,21363940000.0,11752770000.0,9186660000.0,-1185350000.0,1185350000.0,6196130000.0,6196130000.0,39101720000.0,3244047120.0,3244047120.0,1.91,1.91,6196130000.0,6196130000.0,0.0,6196130000.0,-92120000.0,6288250000.0,6288250000.0,1713060000.0,8001310000.0,242500000.0,-1185350000.0,1185350000.0,8945110000.0,17737780000.0,10041270000.0,2566110000.0,2566110000.0,26682890000.0,21363940000.0,48046830000.0,48046830000.0,1961270817178.7988
