,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.249824,8123000000.0,0.0,0.0,5326000000.0,987000000.0,30872000000.0,8123000000.0,7136000000.0,-43000000.0,43000000.0,5326000000.0,5326000000.0,43719000000.0,29493853.0,29493853.0,180.58,180.58,5326000000.0,5326000000.0,0.0,5326000000.0,5326000000.0,5326000000.0,1772000000.0,7093000000.0,1999000000.0,0.0,,,-43000000.0,43000000.0,5137000000.0,12847000000.0,7890000000.0,987000000.0,987000000.0,17984000000.0,30872000000.0,48856000000.0,48856000000.0,1062958462120.0
2025-09-30,0.0,0.241167,8269000000.0,0.0,0.0,5545000000.0,925000000.0,30959000000.0,8269000000.0,7344000000.0,-42000000.0,42000000.0,5545000000.0,5545000000.0,42702000000.0,29493112.0,29493112.0,188.01,188.01,5545000000.0,5545000000.0,0.0,5545000000.0,5545000000.0,5545000000.0,1761000000.0,7302000000.0,2098000000.0,0.0,,,-42000000.0,42000000.0,5246000000.0,11743000000.0,7166000000.0,925000000.0,925000000.0,16989000000.0,30959000000.0,47948000000.0,47948000000.0,1125014757240.0
2025-06-30,1110962835.413976,0.199813,9273000000.0,5560000000.0,5560000000.0,11161000000.0,850000000.0,29856000000.0,14833000000.0,13983000000.0,-45000000.0,45000000.0,6711962835.413976,11161000000.0,42343000000.0,29494464.0,29494464.0,378.41,378.41,11161000000.0,11161000000.0,0.0,11161000000.0,11161000000.0,11161000000.0,2785000000.0,13938000000.0,2880000000.0,5560000000.0,-5560000000.0,,-45000000.0,45000000.0,5543000000.0,12487000000.0,8239000000.0,850000000.0,850000000.0,18030000000.0,29856000000.0,47886000000.0,47886000000.0,950971856743.875
2025-03-31,1121689619.732785,0.288798,4875000000.0,3884000000.0,3884000000.0,5535000000.0,992000000.0,36523000000.0,8759000000.0,7767000000.0,3886000000.0,-17000000.0,2772689619.732785,5535000000.0,40610000000.0,,,,,5535000000.0,5535000000.0,0.0,5535000000.0,5535000000.0,5535000000.0,2248000000.0,7784000000.0,-4075000000.0,-39000000.0,17000000.0,,3886000000.0,-17000000.0,4442000000.0,4087000000.0,-11446000000.0,992000000.0,992000000.0,8529000000.0,36523000000.0,45052000000.0,45052000000.0,
2024-12-31,-121582834.008097,0.258138,7716000000.0,-471000000.0,-471000000.0,4587000000.0,1008000000.0,27507000000.0,7245000000.0,6237000000.0,-62000000.0,62000000.0,4936417165.991903,4587000000.0,39839000000.0,29492702.0,29492702.0,155.53,155.53,4587000000.0,4587000000.0,0.0,4587000000.0,4587000000.0,4587000000.0,1594000000.0,6175000000.0,1890000000.0,-471000000.0,,471000000.0,-62000000.0,62000000.0,4818000000.0,12332000000.0,7376000000.0,1008000000.0,1008000000.0,17150000000.0,27507000000.0,44657000000.0,44657000000.0,992239678236.7422
