,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,280173600.0,0.2289,20362000000.0,1224000000.0,1224000000.0,12098000000.0,5213000000.0,40462000000.0,21586000000.0,16373000000.0,-148000000.0,944000000.0,796000000.0,11154173600.0,12098000000.0,72938000000.0,14238000000.0,833195592.0,832622161.0,14.52,14.53,12098000000.0,12098000000.0,12098000000.0,202000000.0,11896000000.0,11896000000.0,3533000000.0,15429000000.0,1247000000.0,,-92000000.0,179000000.0,,271000000.0,23000000.0,1316000000.0,-148000000.0,,944000000.0,796000000.0,14330000000.0,32476000000.0,-591000000.0,,,,,,6149000000.0,26918000000.0,,,,46806000000.0,40462000000.0,87268000000.0,87268000000.0,1058595835823.0895
2025-09-30,92130000.0,0.222,23893000000.0,415000000.0,415000000.0,14372000000.0,5051000000.0,39911000000.0,24308000000.0,19257000000.0,5000000.0,907000000.0,912000000.0,14049130000.0,14372000000.0,70184000000.0,17513000000.0,,,,,14372000000.0,14372000000.0,14372000000.0,104000000.0,14268000000.0,14268000000.0,4082000000.0,18350000000.0,478000000.0,,-354000000.0,308000000.0,,662000000.0,63000000.0,769000000.0,5000000.0,,907000000.0,912000000.0,17867000000.0,30273000000.0,-2365000000.0,,,,,,6202000000.0,26436000000.0,,,,48140000000.0,39911000000.0,88051000000.0,88051000000.0,
2025-06-30,320196800.0,0.2599,23410000000.0,1232000000.0,1232000000.0,14178000000.0,4765000000.0,34526000000.0,24642000000.0,19877000000.0,298000000.0,830000000.0,1128000000.0,13266196800.0,14178000000.0,68610000000.0,17475000000.0,833019976.0,832042254.0,17.02,17.04,14178000000.0,14178000000.0,14178000000.0,82000000.0,14096000000.0,14096000000.0,4951000000.0,19047000000.0,1907000000.0,673000000.0,-40000000.0,-40000000.0,,0.0,2000000.0,1272000000.0,298000000.0,,830000000.0,1128000000.0,16842000000.0,31785000000.0,-106000000.0,2466000000.0,2466000000.0,1858000000.0,1858000000.0,608000000.0,6244000000.0,23181000000.0,23181000000.0,13650000000.0,9531000000.0,48627000000.0,36825000000.0,85452000000.0,85452000000.0,1061030703142.5066
2025-03-31,572016854.492869,0.208537,22521000000.0,2743000000.0,2743000000.0,15938000000.0,4554000000.0,37797000000.0,25264000000.0,20710000000.0,-92000000.0,656000000.0,564000000.0,13767016854.492868,15938000000.0,67712000000.0,17647000000.0,,833315900.0,19.1,19.12,15938000000.0,15938000000.0,15938000000.0,66000000.0,15872000000.0,15872000000.0,4182000000.0,20054000000.0,2798000000.0,,299000000.0,1067000000.0,,768000000.0,55000000.0,2444000000.0,-92000000.0,,656000000.0,564000000.0,17348000000.0,29915000000.0,-1398000000.0,,,,,,7258000000.0,24055000000.0,,,,47263000000.0,37797000000.0,85060000000.0,85060000000.0,947471023218.0908
2024-12-31,26606000.0,0.251,24173000000.0,106000000.0,106000000.0,14133000000.0,4719000000.0,34534000000.0,24279000000.0,19560000000.0,-114000000.0,818000000.0,704000000.0,14053606000.0,14133000000.0,64878000000.0,18720000000.0,834297521.0,833313679.0,16.94,16.96,14133000000.0,14133000000.0,14133000000.0,95000000.0,14038000000.0,14038000000.0,4704000000.0,18742000000.0,148000000.0,,12000000.0,8000000.0,,-4000000.0,42000000.0,94000000.0,-114000000.0,,818000000.0,704000000.0,18708000000.0,30344000000.0,-431000000.0,,,,,,6658000000.0,24117000000.0,,,,49052000000.0,34534000000.0,83586000000.0,83586000000.0,1149764039985.9438
