,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-38578034.159913,0.21104,-182800000.0,-182800000.0,40524400000.0,68000000.0,52840500000.0,92425300000.0,145265800000.0,40668621965.84009,40524400000.0,2633164392.0,2633164392.0,15.39,15.39,40524400000.0,40524400000.0,40524400000.0,40524400000.0,,40524400000.0,10839900000.0,51364300000.0,-182800000.0,182800000.0,-2639000000.0,1771800000.0,997500000.0,68000000.0,,68000000.0,,,,,,54455400000.0,54455400000.0,928202501850.0073
2025-06-30,0.0,0.211898,,,44657100000.0,67000000.0,55781400000.0,89341800000.0,145123200000.0,44657100000.0,44657100000.0,2633083726.0,2633083726.0,16.96,16.96,44657100000.0,44657100000.0,44657100000.0,44657100000.0,,44657100000.0,12007000000.0,56664100000.0,,,-5765000000.0,1403400000.0,696600000.0,67000000.0,,67000000.0,,,,,,51969600000.0,51969600000.0,1014977519156.9363
2025-03-31,-4255498.379749,0.214924,-19800000.0,-19800000.0,43099800000.0,65000000.0,61734600000.0,87664000000.0,149398600000.0,43115344501.620255,43099800000.0,,,,,43099800000.0,43099800000.0,43099800000.0,43099800000.0,0.0,43099800000.0,11799100000.0,54898900000.0,-19800000.0,19800000.0,-155700000.0,2024700000.0,942800000.0,64900000.0,800000.0,64100000.0,149200000.0,58900000.0,90300000.0,2100000.0,9700000.0,64769100000.0,64769100000.0,
2024-12-31,0.0,0.213207,0.0,0.0,40763500000.0,63100000.0,51406100000.0,88370200000.0,139776300000.0,40763500000.0,40763500000.0,2633301034.0,2633301034.0,15.48,15.48,40763500000.0,40763500000.0,40763500000.0,40763500000.0,,40763500000.0,11046200000.0,51809700000.0,0.0,,834500000.0,2584600000.0,1786700000.0,63100000.0,,63100000.0,,,,,,53560300000.0,53560300000.0,1239605246195.4116
2024-09-30,0.0,0.207885,,,40377200000.0,59700000.0,49792100000.0,85056100000.0,134848200000.0,40377200000.0,40377200000.0,2633868232.0,2633868232.0,15.33,15.33,40377200000.0,40377200000.0,40377200000.0,40377200000.0,,40377200000.0,10596700000.0,50973900000.0,,,-29400000.0,1566300000.0,851800000.0,59800000.0,,59800000.0,,,,,,51157800000.0,51157800000.0,1362706739768.8677
