,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-535904439.352667,0.268046,61582000000.0,-1999300000.0,-1999300000.0,10365900000.0,19750400000.0,246957700000.0,59582700000.0,39832300000.0,-9325600000.0,9325600000.0,11829295560.647333,10365900000.0,403376500000.0,679285714.0,678396597.0,15.26,15.28,10365900000.0,10365900000.0,0.0,10365900000.0,-11963600000.0,22329500000.0,,22329500000.0,8177200000.0,30506700000.0,2652200000.0,-1999300000.0,1991800000.0,7500000.0,,-9325600000.0,9325600000.0,39743200000.0,156418800000.0,57026900000.0,19750400000.0,19750400000.0,51002100000.0,51002100000.0,196162000000.0,246957700000.0,443119700000.0,443119700000.0,1919183972913.0
2025-06-30,-106772964.174479,0.278199,64985500000.0,-383800000.0,-383800000.0,14186800000.0,18103600000.0,214502600000.0,64601700000.0,46498100000.0,-8162300000.0,8162300000.0,14463827035.825521,14186800000.0,358406600000.0,679444444.0,678469632.0,20.88,20.91,14186800000.0,14186800000.0,0.0,14186800000.0,-13484000000.0,27670800000.0,,27670800000.0,10665000000.0,38335800000.0,3421000000.0,-383800000.0,383800000.0,,,-8162300000.0,8162300000.0,42774200000.0,143904000000.0,49995700000.0,18103600000.0,18103600000.0,49857000000.0,49857000000.0,186678200000.0,214502600000.0,401180800000.0,401180800000.0,1922911640922.0
2025-03-31,1386693151.694525,0.25888,59676600000.0,5356500000.0,5356500000.0,12088700000.0,20586200000.0,299398500000.0,65033100000.0,44446900000.0,-5253100000.0,10118700000.0,8118893151.694525,12088800000.0,408952600000.0,,,,,12088800000.0,12088800000.0,0.0,12088800000.0,-13352500000.0,25441400000.0,,25441300000.0,8886900000.0,34328200000.0,-8088500000.0,-940600000.0,,,,-5253100000.0,10118700000.0,40665600000.0,109554100000.0,-41062900000.0,20586200000.0,13205000000.0,110662600000.0,107072200000.0,150219700000.0,299398500000.0,449618200000.0,449618200000.0,
2024-12-31,0.0,0.248673,46891800000.0,0.0,0.0,8201200000.0,16076400000.0,193444500000.0,46891800000.0,30815400000.0,-7734100000.0,7734100000.0,8201200000.0,8201200000.0,326792000000.0,671678952.0,667306753.0,12.21,12.29,8201200000.0,8201200000.0,0.0,8201200000.0,-9140400000.0,17341600000.0,-100000.0,17341600000.0,5739700000.0,23081300000.0,3720000000.0,0.0,,,,-7734100000.0,7734100000.0,26991400000.0,133347500000.0,49038400000.0,16076400000.0,16076400000.0,43646400000.0,43646400000.0,160338900000.0,193444500000.0,353783400000.0,353783400000.0,1624121999288.7212
2024-09-30,-250350000.0,0.3,41420900000.0,-834500000.0,-834500000.0,3146300000.0,15716200000.0,190403100000.0,40586400000.0,24870200000.0,-6566700000.0,6566700000.0,3730450000.0,3146300000.0,321388200000.0,668004246.0,665179704.0,4.71,4.73,3146300000.0,3146300000.0,0.0,3146300000.0,-6683100000.0,9829400000.0,,9829400000.0,8474100000.0,18303500000.0,4008500000.0,-834500000.0,834500000.0,,499800000.0,-6566700000.0,6566700000.0,20837200000.0,130985100000.0,49434700000.0,15716200000.0,15716200000.0,41577400000.0,41577400000.0,151822300000.0,190403100000.0,342225400000.0,342225400000.0,1852803012777.2402
