,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.282342,22101900000.0,0.0,0.0,5531300000.0,4961900000.0,33841800000.0,22101900000.0,17140000000.0,-9129500000.0,9129500000.0,5531300000.0,5531300000.0,48901000000.0,1200673913.0,1200673913.0,4.6,4.6,5523100000.0,5523100000.0,0.0,5523100000.0,-217500000.0,5740600000.0,-8200000.0,5748800000.0,2261700000.0,8010500000.0,-1255500000.0,0.0,,-9129500000.0,9129500000.0,18395500000.0,15059200000.0,6922200000.0,4961900000.0,4961900000.0,33454700000.0,33841800000.0,67296500000.0,67296500000.0,1233512315207.2222
2025-06-30,0.0,0.17798,20169000000.0,0.0,0.0,5144700000.0,4648200000.0,36575800000.0,20169000000.0,15520800000.0,-8940300000.0,8940300000.0,5144700000.0,5144700000.0,49695200000.0,1200187354.0,1200187354.0,4.27,4.27,5124800000.0,5124800000.0,0.0,5124800000.0,-264600000.0,5389400000.0,-19900000.0,5409300000.0,1171200000.0,6580500000.0,-2976800000.0,0.0,,-8940300000.0,8940300000.0,18497600000.0,13119400000.0,6158900000.0,4648200000.0,4648200000.0,31617000000.0,36575800000.0,68192800000.0,68192800000.0,1058265199389.5
2025-03-31,432199482.519637,0.295097,19913200000.0,1464600000.0,1464600000.0,6200300000.0,4616500000.0,42156300000.0,21377800000.0,16761300000.0,-3378100000.0,7021800000.0,5167899482.519637,6200300000.0,43227200000.0,,,,,6471500000.0,6471500000.0,0.0,6471500000.0,-665100000.0,7136600000.0,271200000.0,6865400000.0,2874100000.0,9739500000.0,-6644900000.0,205400000.0,,-3378100000.0,7021800000.0,18309200000.0,1070900000.0,-7067400000.0,4616500000.0,4202500000.0,19380100000.0,42156300000.0,61536400000.0,61536400000.0,
2024-12-31,0.0,0.3,18308700000.0,0.0,0.0,5619200000.0,4623800000.0,30054500000.0,18308700000.0,13684900000.0,-8091200000.0,8091200000.0,5619200000.0,5619200000.0,41673300000.0,1158309278.0,1158309278.0,4.85,4.85,5617800000.0,5617800000.0,0.0,5617800000.0,-635200000.0,6253000000.0,-1400000.0,6254400000.0,-660700000.0,5593700000.0,-2944400000.0,0.0,,-8091200000.0,8091200000.0,16629300000.0,11618800000.0,4695900000.0,4623800000.0,4623800000.0,28248100000.0,30054500000.0,58302600000.0,58302600000.0,933828954063.1176
2024-09-30,0.0,0.3,18912400000.0,0.0,0.0,6747200000.0,4840700000.0,35381900000.0,18912400000.0,14071700000.0,-8129400000.0,8129400000.0,6747200000.0,6747200000.0,48809400000.0,1108308703.0,1108308703.0,6.09,6.09,6749600000.0,6749600000.0,0.0,6749600000.0,-984300000.0,7733900000.0,2400000.0,7731500000.0,-1789200000.0,5942300000.0,1044100000.0,0.0,,-8129400000.0,8129400000.0,13027600000.0,13427500000.0,5657400000.0,4840700000.0,4840700000.0,26455100000.0,35381900000.0,61837000000.0,61837000000.0,1119003909042.268
