,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,62810707.456979,0.251243,54000000000.0,250000000.0,250000000.0,39160000000.0,30280000000.0,54250000000.0,54250000000.0,-1950000000.0,1950000000.0,38972810707.45698,39160000000.0,55200000000.0,4225319000.0,4225319000.0,9.267939,9.267939,39160000000.0,39160000000.0,0.0,39160000000.0,39160000000.0,39160000000.0,13140000000.0,52300000000.0,2930000000.0,250000000.0,-1950000000.0,1950000000.0,51070000000.0,24920000000.0,26390000000.0,75990000000.0,30280000000.0,106270000000.0,106270000000.0,2587796673128.601
2025-06-30,0.0,0.251591,32250000000.0,0.0,0.0,22340000000.0,18100000000.0,32250000000.0,32250000000.0,-2400000000.0,2400000000.0,22340000000.0,22340000000.0,46450000000.0,4223062382.0,4223062382.0,5.29,5.29,22340000000.0,22340000000.0,0.0,22340000000.0,22340000000.0,22340000000.0,7510000000.0,29850000000.0,2790000000.0,0.0,-2400000000.0,2400000000.0,29460000000.0,28350000000.0,28230000000.0,57810000000.0,18100000000.0,75910000000.0,75910000000.0,1903967700700.2273
2025-03-31,-16478053.939714,0.205976,39260000000.0,0.0,-80000000.0,30030000000.0,65980000000.0,39180000000.0,39180000000.0,4540000000.0,1360000000.0,30030000000.0,30030000000.0,47770000000.0,,,,,30030000000.0,30030000000.0,0.0,30030000000.0,30030000000.0,30030000000.0,7790000000.0,37820000000.0,2270000000.0,-430000000.0,4540000000.0,2510000000.0,40520000000.0,-18210000000.0,-20040000000.0,69110000000.0,65980000000.0,88290000000.0,88290000000.0,
2024-12-31,0.0,0.240714,38120000000.0,0.0,0.0,26780000000.0,18960000000.0,38120000000.0,38120000000.0,-2850000000.0,2850000000.0,26780000000.0,26780000000.0,47210000000.0,4225319000.0,4225319000.0,6.337983,6.337983,26780000000.0,26780000000.0,0.0,26780000000.0,26780000000.0,26780000000.0,8490000000.0,35270000000.0,2180000000.0,0.0,-2850000000.0,2850000000.0,35940000000.0,28250000000.0,28810000000.0,64190000000.0,18960000000.0,83150000000.0,83150000000.0,1839468023657.2876
2024-09-30,-212936102.236422,0.25655,35160000000.0,-830000000.0,-830000000.0,23270000000.0,19930000000.0,34330000000.0,34330000000.0,-3030000000.0,3030000000.0,23887063897.763577,23270000000.0,47580000000.0,4223230490.0,4223230490.0,5.51,5.51,23270000000.0,23270000000.0,0.0,23270000000.0,23270000000.0,23270000000.0,8030000000.0,31300000000.0,2700000000.0,-830000000.0,-3030000000.0,3030000000.0,32460000000.0,27650000000.0,28260000000.0,60110000000.0,19930000000.0,80040000000.0,80040000000.0,2163619441249.8474
