,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-360354855.923159,0.023301,36539000000.0,-15465000000.0,-15465000000.0,5498000000.0,175781000000.0,21074000000.0,21074000000.0,-15452000000.0,15452000000.0,20602645144.07684,5498000000.0,197733000000.0,38946000000.0,387183099.0,386638537.0,14.2,14.22,5498000000.0,5498000000.0,0.0,5498000000.0,7000000.0,5491000000.0,5491000000.0,131000000.0,5622000000.0,10687000000.0,-15465000000.0,15465000000.0,-15452000000.0,15452000000.0,36986000000.0,21952000000.0,21952000000.0,58938000000.0,175781000000.0,234719000000.0,234719000000.0,1956197677951.5
2025-06-30,0.0,0.058164,37068000000.0,,,21763000000.0,157427000000.0,37068000000.0,37068000000.0,-13961000000.0,13961000000.0,21763000000.0,21763000000.0,176885000000.0,35630000000.0,386966572.0,386485527.0,56.24,56.31,21763000000.0,21763000000.0,0.0,21763000000.0,0.0,21763000000.0,21763000000.0,1344000000.0,23107000000.0,10463000000.0,,,-13961000000.0,13961000000.0,28078000000.0,19458000000.0,19458000000.0,47536000000.0,157427000000.0,204963000000.0,204963000000.0,2305934004240.977
2025-03-31,0.0,0.032151,45436000000.0,,,30675000000.0,183840000000.0,45436000000.0,45436000000.0,2029000000.0,13742000000.0,30675000000.0,30675000000.0,154114000000.0,40316000000.0,,,,,30675000000.0,30675000000.0,0.0,30675000000.0,0.0,30675000000.0,30675000000.0,1019000000.0,31694000000.0,-21769000000.0,,,2029000000.0,13742000000.0,35562000000.0,-29726000000.0,-8153000000.0,5836000000.0,183840000000.0,189676000000.0,189676000000.0,
2024-12-31,0.0,0.030984,38352000000.0,0.0,0.0,24488000000.0,158110000000.0,38352000000.0,38352000000.0,-13081000000.0,13081000000.0,24488000000.0,24488000000.0,177012000000.0,36165000000.0,386856240.0,386367939.0,63.3,63.38,24488000000.0,24488000000.0,0.0,24488000000.0,0.0,24488000000.0,24488000000.0,783000000.0,25271000000.0,8821000000.0,0.0,,-13081000000.0,13081000000.0,44095000000.0,18902000000.0,18902000000.0,62997000000.0,158110000000.0,221107000000.0,221107000000.0,1756647680565.6694
2024-09-30,0.0,0.3,3330000000.0,,,-9867000000.0,155163000000.0,3330000000.0,3330000000.0,-12401000000.0,12401000000.0,-9867000000.0,-9867000000.0,171854000000.0,35082000000.0,386183953.0,386183953.0,-25.55,-25.55,-9867000000.0,-9867000000.0,0.0,-9867000000.0,0.0,-9867000000.0,-9867000000.0,796000000.0,-9071000000.0,7894000000.0,,,-12401000000.0,12401000000.0,-2158000000.0,16691000000.0,16691000000.0,14533000000.0,155163000000.0,169696000000.0,169696000000.0,1845717364670.225
