,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-84189082.130905,0.174521,5837200000.0,-482400000.0,-482400000.0,3009200000.0,1112700000.0,4403500000.0,5354800000.0,4242100000.0,-297900000.0,596700000.0,298800000.0,3407410917.869095,3009200000.0,16404500000.0,973851133.0,970709677.0,3.09,3.1,3009200000.0,3009200000.0,0.0,3009200000.0,3009200000.0,3009200000.0,636200000.0,3645400000.0,155000000.0,-482400000.0,482400000.0,0.0,-297900000.0,596700000.0,298800000.0,4270700000.0,12001000000.0,3063800000.0,1112700000.0,1112700000.0,4419900000.0,4419900000.0,16271700000.0,4403500000.0,20675200000.0,20675200000.0,1014488659733.7333
2025-09-30,0.0,0.3,6080500000.0,0.0,0.0,4913000000.0,1081000000.0,4648900000.0,6080500000.0,4999500000.0,-290600000.0,539200000.0,248600000.0,4913000000.0,4913000000.0,16684200000.0,978685259.0,972871287.0,5.02,5.05,4913000000.0,4913000000.0,0.0,4913000000.0,4913000000.0,4913000000.0,-452700000.0,4460300000.0,80400000.0,0.0,,,-290600000.0,539200000.0,248600000.0,4670500000.0,12035300000.0,3043800000.0,1081000000.0,1081000000.0,4527300000.0,4527300000.0,16705800000.0,4648900000.0,21354700000.0,21354700000.0,1084459576115.4192
2025-06-30,0.0,0.230902,5594200000.0,0.0,0.0,3079700000.0,1041400000.0,4452400000.0,5594200000.0,4552800000.0,-267000000.0,548500000.0,281500000.0,3079700000.0,3079700000.0,16088000000.0,977682540.0,971514196.0,3.15,3.17,3079700000.0,3079700000.0,0.0,3079700000.0,3079700000.0,3079700000.0,924600000.0,4004300000.0,83600000.0,0.0,,,-267000000.0,548500000.0,281500000.0,4187700000.0,11635600000.0,2949600000.0,1041400000.0,1041400000.0,4263900000.0,4263900000.0,15823300000.0,4452400000.0,20275700000.0,20275700000.0,1238223305131.961
2025-03-31,-126193913.043478,0.207453,6031000000.0,-608300000.0,-608300000.0,3190000000.0,1008300000.0,4092700000.0,5422700000.0,4414400000.0,-275200000.0,389400000.0,276900000.0,3672106086.956522,3190000000.0,12938800000.0,,,,,3190000000.0,3190000000.0,0.0,3190000000.0,3190000000.0,3190000000.0,835000000.0,4025000000.0,-62100000.0,-608300000.0,,369000000.0,-275200000.0,389400000.0,276900000.0,4977600000.0,8846100000.0,-2039600000.0,1008300000.0,503700000.0,7538900000.0,6646700000.0,13823700000.0,4092700000.0,17916400000.0,17916400000.0,
2024-12-31,-167036426.328229,0.226859,5324300000.0,-736300000.0,-736300000.0,2388000000.0,975400000.0,3918200000.0,4588000000.0,3612600000.0,-290800000.0,523900000.0,233100000.0,2957263573.671771,2388000000.0,14667200000.0,978688525.0,970731707.0,2.44,2.46,2388000000.0,2388000000.0,0.0,2388000000.0,2388000000.0,2388000000.0,700700000.0,3088700000.0,99900000.0,-736300000.0,,736300000.0,-290800000.0,523900000.0,233100000.0,4015900000.0,10749000000.0,2866200000.0,975400000.0,975400000.0,3861400000.0,3861400000.0,14764900000.0,3918200000.0,18683100000.0,18683100000.0,1093868763338.3998
