,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-1124858927.460544,0.242589,203785600000.0,-4636900000.0,-4636900000.0,130069200000.0,1694686300000.0,199148700000.0,199148700000.0,-20880200000.0,20880200000.0,133581241072.53946,130069200000.0,1864057700000.0,13778516949.0,13778516949.0,9.44,9.44,130069200000.0,130069200000.0,0.0,130069200000.0,-4953400000.0,135022600000.0,135022600000.0,43245900000.0,178268500000.0,11604500000.0,-4631100000.0,,4631100000.0,-20880200000.0,20880200000.0,187516000000.0,169371400000.0,139081000000.0,356887400000.0,1694686300000.0,2051573700000.0,2051573700000.0,2293572023837.673
2025-06-30,-1065464.751648,0.221972,108210100000.0,-4800000.0,-4800000.0,68137100000.0,1671515600000.0,108205300000.0,108205300000.0,-20700500000.0,20700500000.0,68140834535.24835,68137100000.0,1832513400000.0,13765070707.0,13765070707.0,4.95,4.95,68137100000.0,68137100000.0,0.0,68137100000.0,55900000.0,68081200000.0,68081200000.0,19423600000.0,87504800000.0,5832500000.0,800000.0,,-800000.0,-20700500000.0,20700500000.0,90893100000.0,160997800000.0,130316700000.0,251890900000.0,1671515600000.0,1923406500000.0,1923406500000.0,1921202991578.0688
2025-03-31,-241702981.587213,0.166957,115970200000.0,-1447700000.0,-1447700000.0,81236400000.0,1828415200000.0,114522500000.0,114522500000.0,2544400000.0,14076000000.0,82442397018.41278,81236400000.0,1784543100000.0,,,,,81236400000.0,81236400000.0,0.0,81236400000.0,-2439900000.0,83676300000.0,83676300000.0,16770200000.0,100446500000.0,-20929300000.0,-1372000000.0,-10500000.0,1382500000.0,2544400000.0,14076000000.0,132781100000.0,-43872100000.0,-232985900000.0,88909000000.0,1828415200000.0,1917324200000.0,1917324200000.0,
2024-12-31,1553803279.992192,0.223794,45300700000.0,6943000000.0,6943000000.0,21152900000.0,1733603800000.0,52243700000.0,52243700000.0,-24579000000.0,24579000000.0,15763703279.992191,21152900000.0,1907404800000.0,13735649351.0,13735649351.0,1.54,1.54,21152900000.0,21152900000.0,0.0,21152900000.0,-320600000.0,21473500000.0,21473500000.0,6191200000.0,27664700000.0,10215700000.0,6951000000.0,-6796700000.0,-154300000.0,-24579000000.0,24579000000.0,32740100000.0,173801000000.0,148551300000.0,206541100000.0,1733603800000.0,1940144900000.0,1940144900000.0,1779471440026.2683
2024-09-30,3153303570.518591,0.237689,6310100000.0,13266500000.0,13266500000.0,-1695800000.0,1591391600000.0,19576600000.0,19576600000.0,-25463700000.0,25463700000.0,-11808996429.48141,-1695800000.0,1757435100000.0,14131666667.0,14131666667.0,-0.12,-0.12,-1695800000.0,-1695800000.0,0.0,-1695800000.0,2792000000.0,-4487800000.0,-4487800000.0,-1399300000.0,-5887100000.0,7232500000.0,13271800000.0,-11573000000.0,-1698800000.0,-25463700000.0,25463700000.0,-7673900000.0,166043500000.0,139821400000.0,158369600000.0,1591391600000.0,1749761200000.0,1749761200000.0,2417816124273.746
