,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.230156,0.0,0.0,54429200000.0,130140200000.0,205858200000.0,335998400000.0,54429200000.0,54429200000.0,5168964862.0,5168964862.0,10.53,10.53,54429200000.0,54429200000.0,54429200000.0,-577400000.0,55006600000.0,0.0,55006600000.0,16165100000.0,70235300000.0,0.0,97615400000.0,52724000000.0,194131800000.0,194131800000.0,1529496671116.9421
2025-06-30,0.0,0.351625,0.0,0.0,34691600000.0,125597700000.0,203065400000.0,328663100000.0,34691600000.0,34691600000.0,5170134128.0,5170134128.0,6.71,6.71,34691600000.0,34691600000.0,34691600000.0,-480200000.0,35171800000.0,0.0,35171800000.0,18177800000.0,51696600000.0,0.0,95119900000.0,48401300000.0,180976200000.0,180976200000.0,1286225962052.641
2025-03-31,86906188.625951,0.219202,396466000.0,396466000.0,54196980000.0,120717880000.0,202732143000.0,323450023000.0,53887420188.62595,54196980000.0,,,,,54196980000.0,54196980000.0,54196980000.0,-268239000.0,54465231000.0,0.0,54465231000.0,16038500000.0,73167631000.0,396466000.0,144168534000.0,-3438665000.0,146823693000.0,146823693000.0,
2024-12-31,0.0,0.262156,0.0,0.0,52137200000.0,127957600000.0,201432200000.0,329389800000.0,52137200000.0,52137200000.0,5172341270.0,5172341270.0,10.08,10.08,52137200000.0,52137200000.0,52137200000.0,-360200000.0,52497400000.0,0.0,52497400000.0,18180100000.0,69348300000.0,0.0,91575500000.0,46365000000.0,175892700000.0,175892700000.0,1202756315435.9592
2024-09-30,0.0,0.266179,0.0,0.0,53551000000.0,126360400000.0,192660100000.0,319020500000.0,53551000000.0,53551000000.0,5169015444.0,5169015444.0,10.36,10.36,53551000000.0,53551000000.0,53551000000.0,-498700000.0,54049700000.0,0.0,54049700000.0,19787100000.0,74337500000.0,0.0,89824200000.0,46306500000.0,201889700000.0,201889700000.0,1238209823245.322
