,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-39855832.710409,0.21803,-182800000.0,-182800000.0,62924600000.0,178500000.0,108960000000.0,175721000000.0,284681000000.0,63067544167.28959,62924600000.0,3299664394.0,3299664394.0,19.07,19.07,62924600000.0,62924600000.0,62924600000.0,-19194400000.0,82119000000.0,0.0,82119000000.0,22896500000.0,105015500000.0,-182800000.0,-3060600000.0,4508200000.0,2806400000.0,178500000.0,178500000.0,110894500000.0,110894500000.0,1161247140195.6167
2025-09-30,0.0,0.221029,0.0,0.0,57432500000.0,153200000.0,107552400000.0,173142300000.0,280694700000.0,57432500000.0,57432500000.0,3300718391.0,3300718391.0,17.4,17.4,57432500000.0,57432500000.0,57432500000.0,-20911400000.0,78343900000.0,0.0,78343900000.0,22229700000.0,100573600000.0,0.0,-1592100000.0,4024700000.0,2449100000.0,153200000.0,153200000.0,108415200000.0,108415200000.0,1327351747946.558
2025-06-30,0.0,0.198012,0.0,0.0,68662600000.0,142500000.0,110535500000.0,172039800000.0,282575300000.0,68662600000.0,68662600000.0,3299500240.0,3299500240.0,20.81,20.81,68662600000.0,68662600000.0,68662600000.0,-21151900000.0,89814500000.0,0.0,89814500000.0,22175400000.0,111989900000.0,0.0,-4127500000.0,3804700000.0,2272100000.0,142500000.0,142500000.0,102878500000.0,102878500000.0,1370049809127.7344
2025-03-31,-25951179.752765,0.208109,-124700000.0,-124700000.0,63164500000.0,157600000.0,120921500000.0,165840000000.0,286761500000.0,63263248820.24724,63164500000.0,,,,,63164500000.0,63164500000.0,63164500000.0,-20414300000.0,83578800000.0,0.0,83578800000.0,21964500000.0,105543300000.0,-124700000.0,-1929200000.0,4859400000.0,1873800000.0,157600000.0,157600000.0,121312000000.0,121312000000.0,
2024-12-31,0.0,0.209523,0.0,0.0,58287900000.0,145700000.0,98407500000.0,165595200000.0,264002700000.0,58287900000.0,58287900000.0,3300560589.0,3300560589.0,17.66,17.66,58287900000.0,58287900000.0,58287900000.0,-19307700000.0,77595560000.0,0.0,77595560000.0,20567400000.0,98163000000.0,0.0,431400000.0,4730200000.0,3371400000.0,145700000.0,145700000.0,102804000000.0,102804000000.0,1405076684609.4917
