,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-450328697.850822,0.226296,59340000000.0,-1990000000.0,-1990000000.0,15750000000.0,122400000000.0,57350000000.0,57350000000.0,-9890000000.0,9890000000.0,17289671302.149178,57100000000.0,175370000000.0,3935217092.0,3905608755.0,14.51,14.62,57100000000.0,57100000000.0,0.0,57100000000.0,-20970000000.0,78070000000.0,,41350000000.0,36720000000.0,10740000000.0,47460000000.0,4920000000.0,-1990000000.0,1990000000.0,0.0,0.0,-9890000000.0,9890000000.0,54420000000.0,52970000000.0,52560000000.0,107390000000.0,122400000000.0,229790000000.0,229790000000.0,2360550026873.7764
2025-06-30,0.0,0.263671,80790000000.0,0.0,0.0,31850000000.0,209120000000.0,80790000000.0,80790000000.0,-20260000000.0,20260000000.0,31850000000.0,31850000000.0,303400000000.0,3936959209.0,3907975460.0,8.09,8.15,31850000000.0,31850000000.0,0.0,31850000000.0,-12720000000.0,44570000000.0,0.0,,44570000000.0,15960000000.0,60530000000.0,9850000000.0,0.0,,,0.0,-20260000000.0,20260000000.0,70940000000.0,94280000000.0,89460000000.0,165220000000.0,209120000000.0,374340000000.0,374340000000.0,1736997893483.6748
2025-03-31,486609583.89665,0.254769,80110000000.0,1910000000.0,1910000000.0,34830000000.0,286770000000.0,82020000000.0,82020000000.0,-1950000000.0,15450000000.0,33406609583.89665,34830000000.0,311990000000.0,,,,,34840000000.0,34840000000.0,-10000000.0,34830000000.0,-14780000000.0,49610000000.0,,,49610000000.0,16960000000.0,66570000000.0,-24140000000.0,1910000000.0,-1910000000.0,,0.0,-1950000000.0,15450000000.0,85900000000.0,25220000000.0,3130000000.0,111120000000.0,286770000000.0,397890000000.0,397890000000.0,
2024-12-31,0.0,0.338047,41140000000.0,0.0,0.0,6840000000.0,85710000000.0,41140000000.0,41140000000.0,-10730000000.0,10730000000.0,6840000000.0,35470000000.0,129670000000.0,3932372506.0,3902090209.0,9.02,9.09,35470000000.0,35470000000.0,0.0,35470000000.0,-13290000000.0,48760000000.0,,28630000000.0,20130000000.0,10280000000.0,30410000000.0,3390000000.0,0.0,,0.0,0.0,-10730000000.0,10730000000.0,37750000000.0,43960000000.0,42470000000.0,81710000000.0,85710000000.0,167420000000.0,167420000000.0,1646633839849.1643
2024-09-30,4967954932.529805,0.26595,84320000000.0,18680000000.0,18680000000.0,43520000000.0,211810000000.0,103000000000.0,103000000000.0,-26670000000.0,26670000000.0,29807954932.529804,43520000000.0,300390000000.0,3892665474.0,3865008881.0,11.18,11.26,43520000000.0,43520000000.0,0.0,43520000000.0,-12510000000.0,56030000000.0,,,56030000000.0,20300000000.0,76330000000.0,13000000000.0,18680000000.0,2220000000.0,,-20900000000.0,-26670000000.0,26670000000.0,71320000000.0,88580000000.0,84600000000.0,159900000000.0,211810000000.0,371710000000.0,371710000000.0,1847464927011.872
