,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Insurance And Claims,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.249389,0.0,0.0,49242900000.0,101223700000.0,73844300000.0,175068000000.0,49242900000.0,49242900000.0,9945492975.0,9945492975.0,0.99,0.99,49242900000.0,49242900000.0,49242900000.0,0.0,49242900000.0,0.0,49242900000.0,16293400000.0,65333400000.0,0.0,9691700000.0,129934300000.0,38307600000.0,57273600000.0,204589600000.0,204589600000.0,4378204929594.994
2025-09-30,,,,,,,,,,,9942745883.0,9942745883.0,4.494,4.494,,,,,,,,,,,,,,,,,3962582029170.8066
2025-06-30,0.0,0.268324,0.0,0.0,44721800000.0,97189800000.0,75293300000.0,172483100000.0,44721800000.0,44721800000.0,9942596710.0,9942596710.0,4.498,4.498,44721800000.0,44721800000.0,44721800000.0,0.0,44721800000.0,0.0,44721800000.0,16242700000.0,60534000000.0,0.0,23842800000.0,118000200000.0,35298800000.0,51599400000.0,191661800000.0,191661800000.0,4297207107750.041
2025-03-31,-8532471750.75907,0.227073,-37575954000.0,-37575954000.0,49327590000.0,96123443000.0,71595809000.0,167719252000.0,78371072249.24094,49327590000.0,,,,,49327600000.0,49327600000.0,49327590000.0,0.0,49327563000.0,0.0,49327563000.0,14421600000.0,63510949000.0,-37575954000.0,48155757000.0,107945710000.0,81174518000.0,-54894238000.0,214985999000.0,214985999000.0,
2024-12-31,0.0,0.249261,0.0,0.0,47010200000.0,94634500000.0,71696900000.0,166331400000.0,47010200000.0,47010200000.0,9940868355.0,9940868355.0,0.946,0.946,47010200000.0,47010200000.0,47010200000.0,0.0,47010200000.0,0.0,47010200000.0,15404500000.0,61800800000.0,0.0,-10789300000.0,95418500000.0,34732900000.0,31097600000.0,167761000000.0,167761000000.0,3546888056010.31
