,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
2025-12-31,0.0,0.3,129304400000.0,129304400000.0,129304400000.0,2233228200000.0,6326046967.0,6326046967.0,20.44,20.44,129304400000.0,129304400000.0,129304400000.0,129304400000.0,0.0,129304400000.0,-507000000.0,128797400000.0,0.0,75658200000.0,2362025600000.0,2362025600000.0,1138187700000.0,5408137706532.806
2025-06-30,0.0,0.002612,109570500000.0,109570500000.0,109570500000.0,2136002900000.0,6326241339.0,6326241339.0,17.32,17.32,109570500000.0,109570500000.0,109570500000.0,109570500000.0,0.0,109570500000.0,287000000.0,109857700000.0,0.0,40388900000.0,2250327900000.0,2250327900000.0,975509200000.0,6073633024175.991
2025-03-31,0.0,0.000371,190386700000.0,190386700000.0,190386700000.0,2267629300000.0,,,,,190386700000.0,190386700000.0,190386700000.0,190386700000.0,0.0,190386700000.0,70700000.0,190457400000.0,-4700000.0,580483200000.0,2440588800000.0,2440588800000.0,924914800000.0,
2024-12-31,0.0,0.000884,110086500000.0,110086500000.0,110086500000.0,1924326000000.0,6326810345.0,6326810345.0,17.4,17.4,110086500000.0,110086500000.0,110086500000.0,110086500000.0,0.0,110086500000.0,97400000.0,110183900000.0,0.0,48086100000.0,2034509900000.0,2034509900000.0,965312800000.0,5569662909718.726
2024-09-30,0.0,0.000827,77286800000.0,77286800000.0,77286800000.0,2239633200000.0,6324615385.0,6324615385.0,12.22,12.22,77286800000.0,77286800000.0,77286800000.0,77286800000.0,0.0,77286800000.0,64000000.0,77350800000.0,0.0,47185100000.0,2316984000000.0,2316984000000.0,980572600000.0,6285231683825.73
