,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.201193,36103600000.0,0.0,0.0,17561700000.0,11919400000.0,293953200000.0,36103600000.0,24184200000.0,-2537800000.0,2537800000.0,17561700000.0,17561700000.0,334382900000.0,6577415730.0,6577415730.0,2.67,2.67,17561700000.0,17561700000.0,0.0,17561700000.0,270400000.0,17291300000.0,17291300000.0,4355100000.0,21646400000.0,3380500000.0,0.0,,-2537800000.0,2537800000.0,17350800000.0,40429700000.0,24026700000.0,11919400000.0,11919400000.0,57780500000.0,293953200000.0,351733700000.0,351733700000.0,1098138778139.9075
2025-06-30,0.0,0.213481,42344800000.0,0.0,0.0,23692000000.0,9927200000.0,290256100000.0,42344800000.0,32417600000.0,-2129200000.0,2129200000.0,23692000000.0,23692000000.0,326346600000.0,6581111111.0,6581111111.0,3.6,3.6,23692000000.0,23692000000.0,0.0,23692000000.0,-130400000.0,23822400000.0,23822400000.0,6466000000.0,30288400000.0,1441300000.0,0.0,,-2129200000.0,2129200000.0,26760200000.0,36090500000.0,20823500000.0,9927200000.0,9927200000.0,62850700000.0,290256100000.0,353106800000.0,353106800000.0,1210990621063.1318
2025-03-31,342216673.45679,0.226664,42729600000.0,1509800000.0,1509800000.0,24917600000.0,9970300000.0,367768400000.0,42074700000.0,34269100000.0,2219400000.0,1869100000.0,23750016673.45679,24917600000.0,331563600000.0,,,,,24917600000.0,24917600000.0,0.0,24917600000.0,-138500000.0,25056100000.0,25056100000.0,7343900000.0,32400000000.0,-8137400000.0,1335600000.0,715500000.0,2219400000.0,1869100000.0,29437200000.0,-36204800000.0,-53059400000.0,9970300000.0,9970300000.0,-6767600000.0,367768400000.0,364420900000.0,361000800000.0,
2024-12-31,5497431039.976935,0.225302,39406500000.0,24400300000.0,24400300000.0,40815600000.0,9393500000.0,307409500000.0,63806800000.0,54413300000.0,-1692900000.0,1692900000.0,21912731039.976936,40815600000.0,346048400000.0,6572560386.0,6572560386.0,6.21,6.21,40815600000.0,40815600000.0,0.0,40815600000.0,-26800000.0,40842400000.0,40842400000.0,11878000000.0,52720400000.0,3780600000.0,24400300000.0,-24400300000.0,-1692900000.0,1692900000.0,22298900000.0,38638900000.0,23538000000.0,9393500000.0,9393500000.0,60937800000.0,307409500000.0,368347300000.0,368347300000.0,1166209557163.4348
2024-09-30,0.0,0.224801,45798100000.0,,,26935500000.0,9219800000.0,272842700000.0,45798100000.0,36578300000.0,-1881800000.0,1881800000.0,26935500000.0,26935500000.0,308736800000.0,6569634146.0,6569634146.0,4.1,4.1,26935500000.0,26935500000.0,0.0,26935500000.0,38800000.0,26896700000.0,26896700000.0,7799800000.0,34696500000.0,2766700000.0,,,-1881800000.0,1881800000.0,30152200000.0,35894100000.0,21105500000.0,9219800000.0,9219800000.0,66046300000.0,272842700000.0,338889000000.0,338889000000.0,1466665209393.4475
