,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-100538522.479961,0.193761,4820200000.0,-518880000.0,-518880000.0,2717050000.0,304980000.0,225300000.0,4301320000.0,3996340000.0,-67730000.0,67730000.0,3135391477.520039,2717050000.0,5555500000.0,648460621.0,646916667.0,4.19,4.2,2717050000.0,2717050000.0,0.0,2717050000.0,-450350000.0,3167400000.0,3167400000.0,761210000.0,3928610000.0,1875360000.0,-518880000.0,518880000.0,0.0,-67730000.0,67730000.0,2638640000.0,5330200000.0,607630000.0,304980000.0,304980000.0,993720000.0,993720000.0,7968840000.0,225300000.0,8194140000.0,8194140000.0,860836104355.912
2025-09-30,47600066.655006,0.189559,4416400000.0,251110000.0,251110000.0,3163950000.0,309840000.0,221810000.0,4667510000.0,4357670000.0,-69920000.0,69920000.0,2960440066.655006,3163950000.0,5565560000.0,648350410.0,647024540.0,4.88,4.89,3163950000.0,3163950000.0,0.0,3163950000.0,-311020000.0,3474970000.0,3474970000.0,812780000.0,4287750000.0,1617750000.0,251110000.0,-251110000.0,0.0,-69920000.0,69920000.0,2488950000.0,5343750000.0,547030000.0,309840000.0,309840000.0,1082990000.0,1082990000.0,7832700000.0,221810000.0,8054510000.0,8054510000.0,843805696159.2554
2025-06-30,-9471913.793903,0.204621,4731720000.0,-46290000.0,-46290000.0,2959170000.0,308930000.0,219950000.0,4685430000.0,4376500000.0,-65900000.0,65900000.0,2995988086.206097,2959170000.0,5572720000.0,648940789.0,647520788.0,4.56,4.57,2959170000.0,2959170000.0,0.0,2959170000.0,-469390000.0,3428560000.0,3428560000.0,882040000.0,4310600000.0,2132130000.0,-46290000.0,-720000.0,47010000.0,-65900000.0,65900000.0,2335900000.0,5352770000.0,501710000.0,308930000.0,308930000.0,1271420000.0,1271420000.0,7688670000.0,219950000.0,7908620000.0,7908620000.0,957530139035.2085
2025-03-31,710557462.423124,0.085922,-483150000.0,8269780000.0,8269780000.0,4633880000.0,305800000.0,208030000.0,7786630000.0,7480830000.0,2526490000.0,64700000.0,-2925342537.576876,4633880000.0,5208320000.0,,,,,4633880000.0,4633880000.0,0.0,4633880000.0,-2145040000.0,6778920000.0,6778920000.0,637210000.0,7416130000.0,-5510990000.0,264180000.0,5580000.0,-269760000.0,2526490000.0,64700000.0,2287930000.0,5000290000.0,-1115470000.0,305800000.0,850000.0,2408060000.0,999730000.0,7288220000.0,208030000.0,7496250000.0,7496250000.0,
2024-12-31,-101957513.743371,0.22278,4053610000.0,17980000.0,-457660000.0,2425910000.0,299290000.0,198050000.0,4071590000.0,3772300000.0,-61420000.0,61420000.0,3257252486.256629,2425910000.0,4806840000.0,650378016.0,646909333.0,3.73,3.75,2425910000.0,2425910000.0,0.0,2425910000.0,-458260000.0,2884170000.0,2884170000.0,826710000.0,3710880000.0,1870850000.0,-457660000.0,-17980000.0,0.0,-61420000.0,61420000.0,2417120000.0,4608790000.0,434720000.0,299290000.0,299290000.0,818910000.0,818910000.0,7025910000.0,198050000.0,7223960000.0,7223960000.0,1115485062774.8328
