,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-368547008.547009,0.242465,28640000000.0,-1520000000.0,-1520000000.0,16840000000.0,2070000000.0,203870000000.0,27120000000.0,25050000000.0,-2820000000.0,2820000000.0,17991452991.45299,16840000000.0,224090000000.0,887717449.0,887249737.0,18.97,18.98,16840000000.0,16840000000.0,0.0,16840000000.0,0.0,16840000000.0,16840000000.0,5390000000.0,22230000000.0,1510000000.0,-1520000000.0,-2820000000.0,2820000000.0,25060000000.0,20220000000.0,12650000000.0,2070000000.0,2070000000.0,4050000000.0,4050000000.0,45280000000.0,203870000000.0,249150000000.0,249150000000.0,3594692309455.5
2025-06-30,0.0,0.262838,19350000000.0,,,10910000000.0,1840000000.0,128110000000.0,19350000000.0,17510000000.0,-2710000000.0,2710000000.0,10910000000.0,10910000000.0,131680000000.0,886991870.0,886991870.0,12.3,12.3,10910000000.0,10910000000.0,0.0,10910000000.0,0.0,10910000000.0,10910000000.0,3890000000.0,14800000000.0,1050000000.0,,-2710000000.0,2710000000.0,16460000000.0,3570000000.0,9630000000.0,1840000000.0,1840000000.0,3280000000.0,3280000000.0,20030000000.0,128110000000.0,148140000000.0,148140000000.0,3263356345771.9946
2025-03-31,0.0,0.284893,16530000000.0,,,8710000000.0,1830000000.0,115740000000.0,16530000000.0,14700000000.0,490000000.0,2520000000.0,8710000000.0,8710000000.0,156910000000.0,,,,,8710000000.0,8710000000.0,0.0,8710000000.0,0.0,8710000000.0,8710000000.0,3470000000.0,12180000000.0,-3440000000.0,,490000000.0,2520000000.0,13610000000.0,41170000000.0,-13170000000.0,1830000000.0,1220000000.0,22990000000.0,20080000000.0,54780000000.0,115740000000.0,170520000000.0,170520000000.0,
2024-12-31,0.0,0.25,18020000000.0,0.0,0.0,10470000000.0,1750000000.0,140830000000.0,18020000000.0,16270000000.0,-2310000000.0,2310000000.0,10470000000.0,10470000000.0,160510000000.0,887288136.0,887288136.0,11.8,11.8,10470000000.0,10470000000.0,0.0,10470000000.0,0.0,10470000000.0,10470000000.0,3490000000.0,13960000000.0,1280000000.0,0.0,-2310000000.0,2310000000.0,14990000000.0,19680000000.0,10570000000.0,1750000000.0,1750000000.0,3710000000.0,3710000000.0,34670000000.0,140830000000.0,175500000000.0,175500000000.0,2877820505614.5645
2024-09-30,0.0,0.257384,13590000000.0,,,7040000000.0,1710000000.0,115220000000.0,13590000000.0,11880000000.0,-2400000000.0,2400000000.0,7040000000.0,7040000000.0,124080000000.0,887767970.0,886649874.0,7.93,7.94,7040000000.0,7040000000.0,0.0,7040000000.0,0.0,7040000000.0,7040000000.0,2440000000.0,9480000000.0,1220000000.0,,-2400000000.0,2400000000.0,10650000000.0,8860000000.0,9300000000.0,1710000000.0,1710000000.0,3270000000.0,3270000000.0,19510000000.0,115220000000.0,134730000000.0,134730000000.0,3380331647301.3237
