,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,205010923.608753,0.130622,11941400000.0,1569500000.0,1569500000.0,9984200000.0,1744100000.0,25088300000.0,13510900000.0,11766800000.0,-282500000.0,282500000.0,8619710923.608753,9984200000.0,46158600000.0,,1931179884.0,1931179884.0,5.17,5.17,9984200000.0,9984200000.0,0.0,9984200000.0,9984200000.0,9984200000.0,1500100000.0,11484300000.0,117100000.0,1569500000.0,-1569500000.0,,-282500000.0,282500000.0,10276600000.0,21070300000.0,13651600000.0,1744100000.0,1744100000.0,31346900000.0,25088300000.0,56435200000.0,56435200000.0,2474002205901.1787
2025-06-30,0.0,0.271719,10916600000.0,0.0,0.0,6465900000.0,1569400000.0,22854300000.0,10916600000.0,9347200000.0,-468900000.0,468900000.0,6465900000.0,6465900000.0,41306400000.0,,1927242921.0,1927242921.0,3.355,3.355,6465900000.0,6465900000.0,0.0,6465900000.0,6465900000.0,6465900000.0,2412400000.0,8878300000.0,40400000.0,0.0,,,-468900000.0,468900000.0,9433200000.0,18452100000.0,11948000000.0,1569400000.0,1569400000.0,27885300000.0,22854300000.0,50739600000.0,50739600000.0,2352965518340.38
2025-03-31,1470209.785517,0.267311,13804800000.0,5500000.0,5500000.0,8734900000.0,1513500000.0,26114100000.0,13810300000.0,12296800000.0,192200000.0,375100000.0,8730870209.785517,8734900000.0,41978000000.0,,,,,,8734900000.0,8734900000.0,0.0,8734900000.0,8734900000.0,8734900000.0,3186800000.0,11921700000.0,84400000.0,-15800000.0,-24100000.0,39900000.0,192200000.0,375100000.0,12498400000.0,15863900000.0,-10436600000.0,1513500000.0,1513500000.0,28362300000.0,26114100000.0,54476400000.0,54476400000.0,
2024-12-31,0.0,0.247624,10993200000.0,0.0,0.0,6880100000.0,1502700000.0,20846000000.0,10993200000.0,9490500000.0,-346000000.0,346000000.0,6880100000.0,6880100000.0,38097100000.0,,1927198880.0,1927198880.0,3.57,3.57,6880100000.0,6880100000.0,0.0,6880100000.0,6880100000.0,6880100000.0,2264400000.0,9144500000.0,44400000.0,0.0,,177600000.0,-346000000.0,346000000.0,9524200000.0,17251100000.0,10977800000.0,1502700000.0,1502700000.0,26775300000.0,20846000000.0,47621300000.0,47621300000.0,2057942809193.379
2024-09-30,459758259.471527,0.2507,11708700000.0,1833900000.0,1833900000.0,8994900000.0,1216000000.0,22139200000.0,13542600000.0,12326600000.0,-322200000.0,322200000.0,7620758259.471527,8994900000.0,40286300000.0,10671800000.0,1930236052.0,1930236052.0,4.66,4.66,8994900000.0,8994900000.0,0.0,8994900000.0,8994900000.0,8994900000.0,3009500000.0,12004400000.0,68600000.0,1833900000.0,-1833900000.0,0.0,-322200000.0,322200000.0,10461300000.0,18147100000.0,12206800000.0,1216000000.0,1216000000.0,28608400000.0,22139200000.0,50747600000.0,50747600000.0,2555004357882.835
