,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Insurance And Claims,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.272417,0.0,0.0,213171100000.0,518071700000.0,787825500000.0,1305897200000.0,213171100000.0,213171100000.0,9232182763.0,9232182763.0,23.09,23.09,213171100000.0,213171100000.0,213171100000.0,-8586100000.0,221757200000.0,0.0,221757200000.0,81906700000.0,300667100000.0,0.0,725349000000.0,545105500000.0,,1068657800000.0,1068657800000.0,9067850022516.143
2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,487683900000.0,,,,
2025-06-30,0.0,0.2601,0.0,0.0,212014700000.0,474622200000.0,782664600000.0,1257286800000.0,212014700000.0,212014700000.0,8923177609.0,8923177609.0,23.76,23.76,212014700000.0,212014700000.0,212014700000.0,-9199100000.0,221213800000.0,0.0,221213800000.0,76024800000.0,292291200000.0,0.0,535048200000.0,350142500000.0,224792300000.0,887253600000.0,887253600000.0,7320128533692.134
2025-03-31,-41968451.057966,0.258597,-162293000.0,-162293000.0,196004571000.0,487699398000.0,782270553000.0,1269969951000.0,196124895548.94205,196004571000.0,,,,,196004571000.0,196004571000.0,196004571000.0,-7789982000.0,203794544000.0,0.0,203794544000.0,69554300000.0,268968135000.0,-162293000.0,647879037000.0,215777860000.0,364634115000.0,884586956000.0,884586956000.0,
2024-12-31,0.0,0.249978,0.0,0.0,188531600000.0,472569200000.0,773967400000.0,1246536600000.0,188531600000.0,188531600000.0,8926685606.0,8926685606.0,21.12,21.12,188531600000.0,188531600000.0,188531600000.0,-6306200000.0,194837800000.0,0.0,194837800000.0,63910500000.0,255664000000.0,0.0,615636100000.0,438959000000.0,295950900000.0,904568300000.0,904568300000.0,6956583418720.294
