,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,0.0,0.259078,22620000000.0,,,12343990000.0,5687640000.0,128313140000.0,22620000000.0,16932360000.0,-272060000.0,272060000.0,,12343990000.0,12343990000.0,161682240000.0,,812639236.0,812639236.0,15.19,15.19,12343990000.0,12343990000.0,0.0,12343990000.0,12343990000.0,12343990000.0,4316310000.0,16660300000.0,2436540000.0,,,-272060000.0,272060000.0,,14495820000.0,33369100000.0,24246890000.0,5687640000.0,,5687640000.0,,,,,47864920000.0,128313140000.0,176178060000.0,176178060000.0,1867444964328.0
2025-06-30,0.0,0.25875,24000290000.0,,,13692340000.0,5281050000.0,116016120000.0,24000290000.0,18719240000.0,-247280000.0,247280000.0,,13692340000.0,13692340000.0,145224860000.0,,812601780.0,812601780.0,16.85,16.85,13692340000.0,13692340000.0,0.0,13692340000.0,13692340000.0,13692340000.0,4779620000.0,18471960000.0,2147940000.0,,,-247280000.0,247280000.0,,16571300000.0,29208740000.0,20018150000.0,5281050000.0,,5281050000.0,,,,,45780040000.0,116016120000.0,161796160000.0,161796160000.0,1786429823858.6572
2025-03-31,0.0,0.257901,27422440000.0,,,16143590000.0,5303520000.0,129082860000.0,27422440000.0,22118920000.0,5796430000.0,364970000.0,,16143590000.0,16143590000.0,155217860000.0,,,,,,16143590000.0,16143590000.0,0.0,16143590000.0,16143590000.0,16143590000.0,5610360000.0,21753950000.0,-4219370000.0,,,5796430000.0,364970000.0,,20054610000.0,26135000000.0,-22254370000.0,5303520000.0,,4149500000.0,,,,,46189610000.0,129082860000.0,175272470000.0,175272470000.0,
2024-12-31,0.0,0.257237,21199940000.0,,,11607340000.0,5273780000.0,121686380000.0,21199940000.0,15926160000.0,-298910000.0,298910000.0,,11607340000.0,11607340000.0,149749350000.0,,812270119.0,812270119.0,14.29,14.29,11607340000.0,11607340000.0,0.0,11607340000.0,11607340000.0,11607340000.0,4019910000.0,15627250000.0,2444630000.0,,,-298910000.0,298910000.0,,13481530000.0,28062970000.0,19967050000.0,5273780000.0,,5273780000.0,,,,,41544500000.0,121686380000.0,163230880000.0,163230880000.0,1452968402790.9712
2024-06-30,0.0,0.256432,25640040000.0,11560000.0,11560000.0,14896520000.0,5289810000.0,124643260000.0,25640040000.0,20350230000.0,-316400000.0,316400000.0,1541200000.0,14896520000.0,14896520000.0,153199720000.0,117980000.0,812541100.0,812541100.0,18.333251,18.333251,14896520000.0,14896520000.0,0.0,14896520000.0,14896520000.0,14896520000.0,5137310000.0,20033830000.0,2237500000.0,9060000.0,-9060000.0,-316400000.0,316400000.0,1541200000.0,18112730000.0,28556460000.0,19868850000.0,5289810000.0,282280000.0,5289810000.0,8132040000.0,7988170000.0,143870000.0,117980000.0,46669190000.0,124643260000.0,171312450000.0,171312450000.0,
