,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,370103028.841909,0.155153,45427900000.0,2385400000.0,2385400000.0,24795800000.0,11353000000.0,70378400000.0,47813300000.0,36460300000.0,-7010100000.0,7010100000.0,22780503028.841908,24795800000.0,93486700000.0,19221550388.0,19221550388.0,1.29,1.29,24795800000.0,24795800000.0,0.0,24795800000.0,-85100000.0,24880900000.0,24880900000.0,4569300000.0,29450200000.0,3047200000.0,2385400000.0,-2385400000.0,-7010100000.0,7010100000.0,31027700000.0,23108300000.0,9594900000.0,11353000000.0,11353000000.0,54136000000.0,70378400000.0,124514400000.0,124514400000.0,2748489595567.25
2025-06-30,0.0,0.213871,61498300000.0,,,33848600000.0,10885900000.0,74335900000.0,61498300000.0,50612400000.0,-8569300000.0,8569300000.0,33848600000.0,33848600000.0,95124600000.0,19633758701.0,19633758701.0,1.724,1.724,33848600000.0,33848600000.0,0.0,33848600000.0,797300000.0,33051300000.0,33051300000.0,8991800000.0,42043100000.0,4645500000.0,,,-8569300000.0,8569300000.0,45966900000.0,20788700000.0,7685500000.0,10885900000.0,10885900000.0,66755600000.0,74335900000.0,141091500000.0,141091500000.0,2300094861780.888
2025-03-31,0.0,0.203003,48436500000.0,,,26369700000.0,10846500000.0,95612500000.0,48436500000.0,37590000000.0,7732000000.0,4977200000.0,26369700000.0,26369700000.0,96799900000.0,,,,,21620500000.0,21620500000.0,4749200000.0,26369700000.0,377400000.0,25992300000.0,25992300000.0,6620500000.0,32612800000.0,-21565800000.0,,,7732000000.0,4977200000.0,44861400000.0,1187400000.0,-10362000000.0,10846500000.0,10787300000.0,46048800000.0,95612500000.0,141661300000.0,141661300000.0,
2024-12-31,1158411050.006899,0.275602,57648600000.0,4203200000.0,4203200000.0,30572100000.0,11700100000.0,76489600000.0,61851800000.0,50151700000.0,-9565300000.0,9565300000.0,27527311050.0069,30572100000.0,98182700000.0,19981764706.0,19981764706.0,1.53,1.53,30572100000.0,30572100000.0,0.0,30572100000.0,1171400000.0,29400700000.0,29400700000.0,11185700000.0,40586400000.0,7419400000.0,4203200000.0,-4203200000.0,-9565300000.0,9565300000.0,38529100000.0,21693100000.0,7878600000.0,11700100000.0,11700100000.0,60222200000.0,76489600000.0,136711800000.0,136711800000.0,2115869052522.4387
2024-09-30,0.0,0.202357,59995400000.0,,,33318000000.0,10585900000.0,72382400000.0,59995400000.0,49409500000.0,-8068700000.0,8068700000.0,33318000000.0,33318000000.0,91218900000.0,20071084337.0,20071084337.0,1.66,1.66,33318000000.0,33318000000.0,0.0,33318000000.0,342800000.0,32975200000.0,32975200000.0,8365600000.0,41340800000.0,7239600000.0,,,-8068700000.0,8068700000.0,42169900000.0,18836500000.0,6545900000.0,10585900000.0,10585900000.0,61006400000.0,72382400000.0,133388800000.0,133388800000.0,2633928311791.5864
