,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-163680000.0,0.3,16385300000.0,-545600000.0,-545600000.0,1904300000.0,8386500000.0,67447900000.0,15839700000.0,7453200000.0,-4064500000.0,4064500000.0,2286220000.0,1904300000.0,122949700000.0,1018342246.0,1018342246.0,1.87,1.87,1904300000.0,1904300000.0,0.0,1904300000.0,18500000.0,1885800000.0,1885800000.0,1502900000.0,3388700000.0,95300000.0,-545600000.0,545600000.0,-4064500000.0,4064500000.0,7950700000.0,55501800000.0,44082100000.0,8386500000.0,8386500000.0,63452500000.0,67447900000.0,130900400000.0,130900400000.0,1073129108558.5425
2025-06-30,0.0,0.258643,30360000000.0,0.0,0.0,14939700000.0,7215100000.0,51203300000.0,30360000000.0,23144900000.0,-2966100000.0,2966100000.0,14939700000.0,14939700000.0,100583200000.0,1014236253.0,1014236253.0,14.73,14.73,14939700000.0,14939700000.0,0.0,14939700000.0,-20000000.0,14959700000.0,14959700000.0,5219100000.0,20178800000.0,304000000.0,0.0,,-2966100000.0,2966100000.0,22841200000.0,49379900000.0,39118300000.0,7215100000.0,7215100000.0,72221100000.0,51203300000.0,123424400000.0,123424400000.0,953215308260.3331
2025-03-31,0.0,0.3,11669500000.0,,,-3394000000.0,6906100000.0,176445000000.0,11669500000.0,4763400000.0,-3415500000.0,4045300000.0,-3394000000.0,-3394000000.0,30589600000.0,,,,,-3394000000.0,-3394000000.0,0.0,-3394000000.0,-358100000.0,-3035900000.0,-3035900000.0,3754000000.0,718100000.0,-632700000.0,,,-3415500000.0,4045300000.0,13897900000.0,-145855400000.0,-175530500000.0,6906100000.0,6906100000.0,-131957500000.0,176445000000.0,44487500000.0,44487500000.0,
2024-12-31,0.0,0.207217,22103200000.0,0.0,0.0,9504800000.0,6980600000.0,51491100000.0,22103200000.0,15122600000.0,-3128400000.0,3128400000.0,9504800000.0,9504800000.0,103344700000.0,1012225772.0,1012225772.0,9.39,9.39,9504800000.0,9504800000.0,0.0,9504800000.0,-4000000.0,9508800000.0,9508800000.0,2485400000.0,11994200000.0,263800000.0,0.0,,-3128400000.0,3128400000.0,14858000000.0,51853600000.0,41786100000.0,6980600000.0,6980600000.0,66711600000.0,51491100000.0,118202700000.0,118202700000.0,940213359153.9934
2024-09-30,0.0,0.290784,22350800000.0,,,8609000000.0,6959600000.0,51468300000.0,22350800000.0,15391200000.0,-3258500000.0,3258500000.0,8609000000.0,8609000000.0,97765500000.0,1014016490.0,1014016490.0,8.49,8.49,8609000000.0,8609000000.0,0.0,8609000000.0,4300000.0,8604700000.0,8604700000.0,3528000000.0,12132700000.0,348300000.0,,,-3258500000.0,3258500000.0,15042900000.0,46297200000.0,36586500000.0,6959600000.0,6959600000.0,61340100000.0,51468300000.0,112808400000.0,112808400000.0,1052135068138.6707
