,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,11416309714.466246,0.202701,30579700000.0,56320900000.0,56320900000.0,56270200000.0,146180900000.0,86900600000.0,86900600000.0,-17581300000.0,17581300000.0,11365609714.466246,56270200000.0,225496600000.0,1220082394.0,1202868747.0,46.12,46.78,56270200000.0,56270200000.0,0.0,56270200000.0,-995500000.0,57265700000.0,0.0,57265700000.0,14051100000.0,69319300000.0,6558500000.0,56320900000.0,-56320900000.0,-17581300000.0,17581300000.0,22699300000.0,79315700000.0,70374000000.0,102015000000.0,146180900000.0,248195900000.0,248195900000.0,2694065073922.074
2025-09-30,,,,,,,,,,,,,,,1205053743.0,1205053743.0,26.544459,26.544459,,,,,,,,,,,,,,,,,,,,,,,3019744056902.6704
2025-06-30,0.0,0.389591,29773900000.0,0.0,0.0,7344100000.0,119552800000.0,29773900000.0,29773900000.0,-15111100000.0,15111100000.0,7344100000.0,7344100000.0,199348600000.0,1258350573.0,1258350573.0,5.836291,5.836291,7344100000.0,7344100000.0,0.0,7344100000.0,-2420700000.0,9764800000.0,0.0,9764800000.0,5712500000.0,14662800000.0,4754200000.0,0.0,,-15111100000.0,15111100000.0,20263400000.0,79795800000.0,70168100000.0,100059200000.0,119552800000.0,219612000000.0,219612000000.0,3296123368030.402
2025-03-31,10533514725.418495,0.244186,16509700000.0,43137200000.0,43137200000.0,38449200000.0,278436900000.0,59646900000.0,59646900000.0,2883200000.0,7059600000.0,5845514725.418495,38449200000.0,241924600000.0,,,,,36882600000.0,36882600000.0,1566600000.0,38449200000.0,-1699800000.0,40149000000.0,0.0,40149000000.0,12841100000.0,52587300000.0,-11407200000.0,41461700000.0,,2883200000.0,7059600000.0,25897300000.0,-36512300000.0,-65913400000.0,-10615000000.0,278436900000.0,267821900000.0,267821900000.0,
2024-12-31,0.0,0.3,19821100000.0,0.0,0.0,614900000.0,131159000000.0,19821100000.0,19821100000.0,-14065500000.0,14065500000.0,614900000.0,578300000.0,207836600000.0,1190510909.0,1190510909.0,0.04,0.04,578300000.0,578300000.0,0.0,578300000.0,-1708100000.0,2286400000.0,-36600000.0,2323000000.0,5884400000.0,5755600000.0,6521200000.0,0.0,,-14065500000.0,14065500000.0,20647600000.0,76677600000.0,69262800000.0,97325200000.0,131159000000.0,228484200000.0,228484200000.0,3008893667320.8403
