,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-12-31,-216362289.423658,0.242477,40463500000.0,-892300000.0,-892300000.0,17254000000.0,11819000000.0,44027000000.0,39571200000.0,27752200000.0,-4922000000.0,4922000000.0,17929937710.576344,17254000000.0,190963400000.0,294336404.0,294135697.0,58.62,58.66,17254000000.0,17254000000.0,0.0,17254000000.0,-40400000.0,17294400000.0,,17294400000.0,5535800000.0,22830200000.0,1355800000.0,-892300000.0,884800000.0,7500000.0,0.0,-4922000000.0,4922000000.0,27333400000.0,146936400000.0,77126500000.0,11819000000.0,11819000000.0,47577000000.0,47577000000.0,174269800000.0,44027000000.0,218296800000.0,218296800000.0,3466095053448.0
2025-06-30,-100408398.829709,0.261616,45862600000.0,-383800000.0,-383800000.0,22259000000.0,11067800000.0,38190400000.0,45478800000.0,34411000000.0,-4333000000.0,4333000000.0,22542391601.17029,22259000000.0,179718900000.0,294392276.0,294158848.0,75.61,75.67,22259000000.0,22259000000.0,0.0,22259000000.0,49900000.0,22209100000.0,,22209100000.0,7868900000.0,30078000000.0,1802300000.0,-383800000.0,,383800000.0,0.0,-4333000000.0,4333000000.0,33035600000.0,141528500000.0,74248600000.0,11067800000.0,11067800000.0,46489700000.0,46489700000.0,174564100000.0,38190400000.0,212754500000.0,212754500000.0,3534856605128.5
2025-03-31,605402970.788624,0.193872,42486600000.0,3122700000.0,3122700000.0,20529600000.0,13518300000.0,80641400000.0,45609300000.0,32091000000.0,-3918700000.0,6713900000.0,18012302970.788624,20529700000.0,208968400000.0,,,,,20529700000.0,20529700000.0,0.0,20529700000.0,72500000.0,20457400000.0,,20457300000.0,4919900000.0,25377100000.0,-5414100000.0,-336200000.0,,,1205800000.0,-3918700000.0,6713900000.0,31419900000.0,128327000000.0,36423100000.0,13518300000.0,10559100000.0,75374800000.0,73996200000.0,159746900000.0,80641400000.0,240388300000.0,240388300000.0,
2024-12-31,0.0,0.193837,31408000000.0,0.0,0.0,13594300000.0,9927800000.0,32038800000.0,31408000000.0,21480200000.0,-4567500000.0,4567500000.0,13594300000.0,13594300000.0,158768800000.0,294440113.0,294185241.0,46.17,46.21,13594300000.0,13594300000.0,0.0,13594300000.0,-40100000.0,13634400000.0,-100000.0,13634400000.0,3278300000.0,16912700000.0,2473200000.0,0.0,,0.0,0.0,-4567500000.0,4567500000.0,19019500000.0,126730000000.0,67541100000.0,9927800000.0,9927800000.0,40360500000.0,40360500000.0,145749500000.0,32038800000.0,177788300000.0,177788300000.0,3340290407650.198
2024-09-30,0.0,0.19486,22519600000.0,0.0,0.0,7028200000.0,9796700000.0,29200300000.0,22519600000.0,12722900000.0,-3929900000.0,3929900000.0,7028200000.0,7028200000.0,152469100000.0,294436531.0,294190038.0,23.87,23.89,7028200000.0,7028200000.0,0.0,7028200000.0,-51400000.0,7079600000.0,,7079600000.0,1713400000.0,8793000000.0,2262200000.0,0.0,,,0.0,-3929900000.0,3929900000.0,10475100000.0,123268800000.0,65738300000.0,9796700000.0,9796700000.0,38197100000.0,38197100000.0,133743900000.0,29200300000.0,162944200000.0,162944200000.0,3450161361608.1914
